CampaignDayW8,partyContactConW8No,partyContactConW8Yes,partyContactConW8Don't know,partyContactLabW8No,partyContactLabW8Yes,partyContactLabW8Don't know,partyContactLDW8No,partyContactLDW8Yes,partyContactLDW8Don't know,partyContactUKIPW8No,partyContactUKIPW8Yes,partyContactUKIPW8Don't know,partyContactGrnW8No,partyContactGrnW8Yes,partyContactGrnW8Don't know,partyContactOtherPartyW8No,partyContactOtherPartyW8Yes,partyContactOtherPartyW8Don't know,partyContactStrongerInW8No,partyContactStrongerInW8Yes,partyContactStrongerInW8Don't know,partyContactVoteLeaveW8No,partyContactVoteLeaveW8Yes,partyContactVoteLeaveW8Don't know,partyContactOthLeaveW8No,partyContactOthLeaveW8Yes,partyContactOthLeaveW8Don't know,partyContactOthRemainW8No,partyContactOthRemainW8Yes,partyContactOthRemainW8Don't know,partyContactNoneW8No,partyContactNoneW8Yes,partyContactNoneW8Don't know,partyContactDKW8No,partyContactDKW8Yes
1,0.5226156610566859,0.443384599672354,0.03399973927096005,0.37826882929517425,0.5877314314338656,0.033999739270960054,0.7367543949469006,0.22924586578213926,0.033999739270960054,0.7748835845888888,0.19111667614015102,0.03399973927096005,0.7796206149194295,0.18637964580961044,0.03399973927096006,0.9439364278669324,0.022063832862107467,0.033999739270960054,0.9274869819641832,0.0385132787648567,0.03399973927096005,0.9166941973905977,0.04930606333844232,0.03399973927096005,0.9454037789903929,0.02059648173864713,0.033999739270960054,0.9660002607290399,0.0,0.03399973927096005,0.9660002607290399,0.0,0.03399973927096005,0.9660002607290399,0.03399973927096005
2,0.5097164692405534,0.463104833922942,0.027178696836504534,0.41522994210283093,0.5575913610606645,0.027178696836504534,0.6609797028206009,0.31184160034289465,0.02717869683650454,0.8001970110712248,0.17262429209227076,0.027178696836504534,0.8542581672116879,0.11856313595180762,0.027178696836504534,0.9206422300619385,0.05217907310155692,0.027178696836504534,0.9160104589027913,0.05681084426070419,0.027178696836504534,0.922619973219042,0.05020132994445343,0.027178696836504534,0.956819832041415,0.016001471122080425,0.027178696836504534,0.9728213031634955,0.0,0.027178696836504534,0.9675550779761387,0.00526622518735669,0.027178696836504534,0.9728213031634955,0.027178696836504534
3,0.524348606906504,0.4686633989238226,0.006987994169673537,0.40885570956816963,0.5841562962621569,0.006987994169673537,0.7275854644487366,0.2654265413815899,0.006987994169673539,0.7462006461296571,0.24681135970066945,0.0069879941696735365,0.8142379471110652,0.17877405871926125,0.006987994169673538,0.9764164693405832,0.016595536489743365,0.006987994169673539,0.9050119482139692,0.08800005761635728,0.006987994169673538,0.9182013387248993,0.07481066710542726,0.0069879941696735365,0.9549614325899468,0.03805057324037972,0.006987994169673537,0.9726703019033981,0.020341703926928457,0.006987994169673539,0.9930120058303266,0.0,0.006987994169673539,0.9930120058303266,0.006987994169673539
4,0.49892660148657497,0.48460634766364935,0.016467050849775837,0.5167905769927262,0.46674237215749803,0.016467050849775833,0.6421714797139088,0.3413614694363155,0.016467050849775833,0.8037017744882113,0.17983117466201282,0.016467050849775833,0.837078494497832,0.1464544546523922,0.016467050849775833,0.9749576695811868,0.008575279569037501,0.01646705084977583,0.7708885725643405,0.2126443765858838,0.016467050849775833,0.8066555039532805,0.17687744519694382,0.016467050849775827,0.9300363278691997,0.05349662128102452,0.01646705084977583,0.9689780585308535,0.014554890619370658,0.01646705084977583,0.9835329491502243,0.0,0.01646705084977583,0.9835329491502243,0.01646705084977583
5,0.5988857047098657,0.2820550049679703,0.11905929032216407,0.464488009563299,0.41645270011453694,0.11905929032216407,0.6883880191851848,0.19255269049265109,0.11905929032216403,0.8060525622306831,0.07488814744715294,0.11905929032216403,0.8401350055177025,0.04080570416013345,0.11905929032216403,0.8716026658271588,0.009338043850677125,0.11905929032216403,0.7370604666801849,0.14388024299765123,0.11905929032216407,0.698079445182597,0.18286126449523907,0.11905929032216407,0.8286769717448466,0.05226373793298949,0.11905929032216403,0.8623035050837675,0.01863720459406853,0.11905929032216403,0.8809407096778361,0.0,0.11905929032216403,0.8809407096778361,0.11905929032216403
6,0.5513451975227832,0.4303970134267146,0.018257789050502148,0.5333774572630254,0.44836475368647255,0.01825778905050215,0.677884227942356,0.303857983007142,0.01825778905050215,0.7796509992060399,0.20209121174345812,0.018257789050502148,0.919302519987049,0.062439690962448925,0.018257789050502155,0.9711728398173851,0.010569371132112716,0.018257789050502155,0.8672169760633658,0.11452523488613205,0.018257789050502148,0.9098279442319368,0.07191426671756121,0.018257789050502148,0.9088253636294131,0.0729168473200848,0.018257789050502148,0.978146274167422,0.003595936782075955,0.01825778905050215,0.9817422109494979,0.0,0.018257789050502155,0.9817422109494979,0.018257789050502155
7,0.7469815782519666,0.23812240790938966,0.01489601383864366,0.4516775536744864,0.5334264324868698,0.014896013838643663,0.8329929837342929,0.1521110024270634,0.014896013838643663,0.8388493580505018,0.14625462811085457,0.014896013838643663,0.9076822655426586,0.07742172061869768,0.014896013838643665,0.9851039861613563,0.0,0.014896013838643665,0.8834445255771574,0.10165946058419902,0.014896013838643665,0.8351929479639606,0.14991103819739585,0.014896013838643663,0.8803242504250979,0.10477973573625837,0.014896013838643668,0.9644504271662981,0.020653558995058094,0.014896013838643665,0.9851039861613563,0.0,0.014896013838643665,0.9851039861613563,0.014896013838643665
8,0.6570216011480157,0.2669193916487822,0.07605900720320212,0.5144701898330922,0.4094708029637055,0.07605900720320212,0.6606118901091543,0.2633291026876434,0.07605900720320212,0.8031949660996862,0.12074602669711164,0.07605900720320212,0.8777064068181828,0.0462345859786151,0.07605900720320212,0.9117476783562037,0.012193314440594162,0.07605900720320212,0.8138968040283225,0.11004418876847531,0.07605900720320213,0.8234142561471103,0.10052673664968759,0.07605900720320212,0.893976198782094,0.02996479401470393,0.07605900720320212,0.8879395838857802,0.03600140891101779,0.07605900720320213,0.9239409927967979,0.0,0.07605900720320212,0.9239409927967979,0.07605900720320212
9,0.6639869762779372,0.2843534369933289,0.051659586728733796,0.5573694032426911,0.39097101002857504,0.051659586728733796,0.7494548786066628,0.19888553466460332,0.0516595867287338,0.897433284385319,0.05090712888594716,0.05165958672873381,0.9047923677655908,0.04354804550567532,0.0516595867287338,0.9267546979662555,0.021585715305010564,0.0516595867287338,0.8490007017844696,0.0993397114867965,0.051659586728733796,0.7534503339874687,0.19489007928379742,0.0516595867287338,0.9404629690396075,0.007877444231658731,0.051659586728733796,0.7770974254379232,0.17124298783334302,0.051659586728733796,0.9483404132712662,0.0,0.0516595867287338,0.9483404132712662,0.0516595867287338
10,0.616610268291746,0.3587652512861261,0.024624480422127806,0.4936370535061997,0.4817384660716724,0.024624480422127802,0.7394633900421139,0.23591212953575819,0.024624480422127802,0.7982587242333145,0.1771167953445577,0.02462448042212781,0.910526210345776,0.06484930923209625,0.024624480422127802,0.9753755195778722,0.0,0.02462448042212781,0.8023719778499638,0.17300354172790844,0.02462448042212781,0.7884043048358268,0.1869712147420454,0.02462448042212781,0.8781391391201813,0.09723638045769095,0.024624480422127806,0.9261817292557073,0.04919379032216486,0.024624480422127802,0.9753755195778722,0.0,0.02462448042212781,0.9753755195778722,0.02462448042212781
