CampaignDayW5,partyContact1W5No,partyContact1W5Yes,partyContact1W5Don't know,partyContactConW5No,partyContactConW5Yes,partyContactConW5Don't know,partyContactLabW5No,partyContactLabW5Yes,partyContactLabW5Don't know,partyContactLDW5No,partyContactLDW5Yes,partyContactLDW5Don't know,partyContactUKIPW5No,partyContactUKIPW5Yes,partyContactUKIPW5Don't know,partyContactGrnW5No,partyContactGrnW5Yes,partyContactGrnW5Don't know,partyContactOtherPartyW5No,partyContactOtherPartyW5Yes,partyContactOtherPartyW5Don't know,partyContactNoneW5No,partyContactNoneW5Yes,partyContactNoneW5Don't know
1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
26,0.4916722193731773,0.472046967182952,0.03628081344387075,0.3944071639207557,0.5885668452634326,0.01702599081581176,0.3245371285406281,0.6584368806435603,0.01702599081581175,0.5729539814631552,0.410020027721033,0.017025990815811756,0.6481467936832935,0.3348272155008948,0.017025990815811756,0.8158881012982472,0.1670859078859412,0.01702599081581176,0.9468673608698357,0.03610664831435256,0.017025990815811753,0.9829740091841883,0.0,0.017025990815811756
27,0.5235277839206385,0.4400928226405951,0.03637939343876646,0.43612306297393616,0.5540721652533649,0.00980477177269898,0.30498855536185054,0.6852066728654506,0.009804771772698982,0.6523630290308752,0.33783219919642593,0.009804771772698983,0.6601739993732388,0.33002122885406227,0.009804771772698982,0.7828526042670311,0.2073426239602699,0.009804771772698978,0.9269621139136406,0.06323311431366045,0.009804771772698983,0.9821196335157207,0.008075594711580376,0.009804771772698983
28,0.47808816112932123,0.4841478656208387,0.03776397324984,0.3556234538679337,0.635088387212824,0.009288158919242152,0.3416550943680026,0.6490567467127552,0.009288158919242156,0.5755074834183346,0.4152043576624232,0.00928815891924216,0.6843974485230435,0.30631439255771425,0.009288158919242152,0.8356186370340125,0.15509320404674534,0.009288158919242158,0.9561972665121689,0.03451457456858892,0.009288158919242158,0.9882574087058111,0.0024544323749466613,0.009288158919242156
29,0.5021456838457475,0.46769389305699016,0.03016042309726225,0.4335833088268779,0.544495035392158,0.021921655780963962,0.31452168874973446,0.6635566554693014,0.02192165578096397,0.6013673341802834,0.3767110100387527,0.02192165578096397,0.6221993572866181,0.35587898693241776,0.021921655780963962,0.7928453960066341,0.18523294821240197,0.02192165578096397,0.9254613245325031,0.052617019686532894,0.021921655780963965,0.9521773680989705,0.025900976120065592,0.021921655780963965
30,0.5406480626367801,0.42412070501789323,0.03523123234532669,0.3866993677420382,0.6067528721224688,0.006547760135492929,0.3345976808378919,0.6588545590266153,0.006547760135492927,0.6130486514772818,0.3804035883872252,0.006547760135492929,0.6933061502559783,0.3001460896085288,0.00654776013549293,0.8319979655181654,0.16145427434634163,0.006547760135492929,0.9097881227170049,0.08366411714750223,0.006547760135492931,0.9934522398645071,0.0,0.006547760135492928
31,0.4821985662702965,0.48566857741665875,0.03213285631304483,0.401606612068095,0.5861136477260662,0.012279740205838767,0.2671018320676225,0.7206184277265387,0.012279740205838767,0.6346656496151204,0.35305461017904094,0.012279740205838772,0.679730431605529,0.3079898281886322,0.01227974020583877,0.814427781176141,0.17329247861802025,0.012279740205838769,0.955317105633087,0.03240315416107426,0.012279740205838784,0.9831575555153205,0.004562704278840737,0.012279740205838783
32,0.500696232544005,0.4696369290903173,0.029666838365677656,0.39112756710732655,0.6061176365297118,0.0027547963629615604,0.24250764839066477,0.7547375552463735,0.00275479636296156,0.5887239723708544,0.40852123126618395,0.002754796362961561,0.6564758913760281,0.3407693122610102,0.0027547963629615613,0.7888366397799151,0.20840856385712328,0.002754796362961561,0.9352288555435938,0.06201634809344455,0.0027547963629615604,0.9906403452526473,0.006604858384391161,0.002754796362961561
33,0.4881337790753664,0.4714266920674847,0.04043952885714868,0.3780442626151808,0.6128311655822548,0.009124571802564289,0.255768110861664,0.7351073173357717,0.009124571802564293,0.5835703746493731,0.4073050535480627,0.009124571802564289,0.6449547053526257,0.34592072284481,0.009124571802564287,0.7743621760713104,0.2165132521261253,0.009124571802564289,0.9395271707696238,0.0513482574278119,0.009124571802564289,0.9898593794184707,0.0010160487789650052,0.00912457180256429
34,0.4689108996654528,0.47793311828076057,0.05315598205378673,0.32322943920531805,0.670936164526241,0.005834396268440874,0.2754501181945717,0.7187154855369874,0.005834396268440876,0.5797655369481309,0.41440006678342817,0.005834396268440874,0.6723537522137739,0.3218118515177853,0.005834396268440875,0.8019998095262612,0.19216579420529803,0.005834396268440872,0.9369277390305237,0.057237864701035465,0.005834396268440875,0.9848388828704502,0.009326720861108865,0.005834396268440873
