,encoding_dim,hidden_size,num_epochs,val_loss,val_acc,val_mean_squared_error,val_binary_accuracy,val_binary_crossentropy,val_kullback_leibler_divergence,loss,acc,mean_squared_error,binary_accuracy,binary_crossentropy,kullback_leibler_divergence,mean_correlation,no_hidden_layers,elapsed_time,description
0,9.0,100.0,99.0,0.2273745807450037,0.91185694146053,0.06666264598350657,0.91185694146053,0.22398788275113746,173.4374419681143,0.22427518494536405,0.9127456689703052,0.06583385361575064,0.9127456689703052,0.22084314520335405,170.294899117453,0.3558833851817708,1.0,,
1,10.0,100.0,99.0,0.2258543456323915,0.9125230800606164,0.06616021148648811,0.9125230800606164,0.22243835642955367,170.85781674336857,0.2227739549104976,0.9133815953046576,0.06535472115428874,0.9133815953046576,0.2193405738971788,168.908047516907,0.3625544594075545,1.0,,
2,3.0,100.0,79.0,0.2531617049420173,0.9014420074514315,0.07472748945166299,0.9014420074514315,0.2511349346727262,194.66797654909988,0.25099904139252355,0.9021481785688059,0.07411195805381735,0.9021481785688059,0.2489442875400212,192.507454813372,0.27523376516432474,1.0,,
3,4.0,100.0,99.0,0.2469115116301212,0.9033454380933056,0.0730196349950553,0.9033454380933056,0.24488551797893224,188.57979917494103,0.2448036063768004,0.9040038440036732,0.072441190358912,0.9040038440036732,0.2427712323912089,187.40280604433727,0.29648817066309824,1.0,,
4,5.0,100.0,99.0,0.2419980718688317,0.9055615999346234,0.07140205813303667,0.9055615999346234,0.2396648915716817,185.59912086306824,0.2398398148581249,0.9062196108391676,0.0708247414821325,0.9062196108391676,0.2374858289062256,183.3124637510577,0.31177107037742674,1.0,,
5,6.0,100.0,99.0,0.23791009509110025,0.9073492807382336,0.07008075135355106,0.9073492807382336,0.2352847342056097,181.6932903144701,0.2355025402976469,0.9080168720707068,0.0694414199176761,0.9080168720707068,0.23287925768686202,179.74099807511277,0.32546075517300044,1.0,,
6,7.0,100.0,99.0,0.2350344967314069,0.9082227374879456,0.06926869796943251,0.9082227374879456,0.2323221796900249,178.82806266450402,0.2327063941156333,0.908923995170852,0.06865294568262906,0.908923995170852,0.2299742989723751,177.20923809443605,0.33541045865890584,1.0,,
7,8.0,100.0,99.0,0.2307036917773244,0.9102313918739084,0.06782305587870488,0.9102313918739084,0.22762505306782035,174.83364476592826,0.2279654689790831,0.9110191951286338,0.0670942062187714,0.9110191951286338,0.22488201052121493,173.39608081429878,0.34764305300374115,1.0,,
8,1.0,100.0,79.0,0.2704593315168132,0.8962626586869524,0.07941962019448448,0.8962626586869524,0.2686097106568562,209.8285866940773,0.2692978121504602,0.8966511638336524,0.07909749110844615,0.8966511638336524,0.2674491629622916,208.94960772137955,0.19794747028306167,1.0,,
9,2.0,100.0,88.0,0.2592865317787295,0.8993353912505497,0.07649664251948987,0.8993353912505497,0.2575168172298398,199.4396465406202,0.2578917131975017,0.8999114060816941,0.0760912826188555,0.8999114060816941,0.256131375071469,198.80230742998558,0.2515295483394248,1.0,,
10,11.0,100.0,98.0,0.22355401473631925,0.9136619350344272,0.0653830340326722,0.9136619350344272,0.2199164609482613,169.85083431708566,0.22013657571852946,0.9145852225032516,0.06449201266101386,0.9145852225032516,0.21649306921594674,166.71669254376258,0.3687468220142748,1.0,,
11,12.0,100.0,99.0,0.22104375045863148,0.9145540165338714,0.06463918620052392,0.9145540165338714,0.21737425718160566,166.78224137902663,0.21781098560401352,0.9154425971151692,0.06378733722912441,0.9154425971151692,0.21411706183851545,164.78012394508158,0.37682361642102,1.0,,
12,13.0,100.0,99.0,0.21881050913306346,0.9155576349050882,0.06387391898298585,0.9155576349050882,0.21487745963069305,166.2466284129731,0.21505992800832752,0.9165815420928334,0.06288929822277918,0.9165815420928334,0.2111124313941226,162.39053509885963,0.3823698168311152,1.0,,
13,14.0,100.0,99.0,0.21701395925875167,0.9162607251306424,0.06335010959923296,0.9162607251306424,0.2131030038135466,164.19884622102754,0.21346744303755213,0.9172953281542588,0.06238975346700488,0.9172953281542588,0.2095103295518976,161.05043272240894,0.387723399188734,1.0,,
14,15.0,100.0,99.0,0.21557541357736265,0.9168902645388876,0.06286888717959349,0.9168902645388876,0.21157404409186106,163.70282801709385,0.21221254040966708,0.9178215590169259,0.06197479166635068,0.9178215590169259,0.20819549787382646,160.06022407666717,0.3911660427129805,1.0,,
15,16.0,100.0,99.0,0.21393349059051656,0.9176550626697366,0.06227918906593816,0.9176550626697366,0.20969425782625872,161.836685398122,0.2103068725915085,0.9186498106829284,0.06134251202649915,0.9186498106829284,0.2060513018004012,158.25357312088147,0.3955126229932157,1.0,,
16,17.0,100.0,99.0,0.21267780899628452,0.9182346508373248,0.06189698213294372,0.9182346508373248,0.2084438518127341,160.02861652107956,0.20907470957875984,0.9191944118933192,0.06095351061356965,0.9191944118933192,0.20482642147415286,157.33260485757626,0.3996180144130489,1.0,,
17,18.0,100.0,99.0,0.21142683805871826,0.9187600487978572,0.06147353918393415,0.9187600487978572,0.2070726105425871,158.67639835451334,0.2079750176402359,0.9197143264390856,0.06056685543434051,0.9197143264390856,0.20359621473303088,156.2764558452405,0.4023407515536474,1.0,,
18,19.0,100.0,99.0,0.21136860479284608,0.9189336770993904,0.061414671977322775,0.9189336770993904,0.20699366864299454,159.38686504777257,0.20751170725335727,0.9200203344575744,0.06039885531502918,0.9200203344575744,0.20315038781574768,156.0105838067266,0.403920999439733,1.0,,
