immigration_sentiment_factor_raw,Immigration: Bad(0) <-> Good(100){uniform},id
0,6,1
0,78,2
0,92,3
0,50,4
0,52,5
0,42,6
0,9,7
0,30,8
0,92,9
0,75,10
0,16,11
0,42,12
0,67,13
0,16,14
0,20,15
0,59,16
0,7,17
0,100,18
0,94,19
0,28,20
0,54,21
0,78,22
0,13,23
0,88,24
0,50,25
0,27,26
0,25,27
0,70,28
0,28,29
0,26,30
0,5,31
0,96,32
0,90,33
0,6,34
0,21,35
0,64,36
0,61,37
0,95,38
0,1,39
0,8,40
0,97,41
0,9,42
0,18,43
0,75,44
0,88,45
0,70,46
0,85,47
0,87,48
0,100,49
0,61,50
0,94,51
0,78,52
0,23,53
0,76,54
0,49,55
0,22,56
0,71,57
0,61,58
0,73,59
0,60,60
0,99,61
0,97,62
0,100,63
0,53,64
0,7,65
0,99,66
0,98,67
0,4,68
0,48,69
0,18,70
0,10,71
0,51,72
0,13,73
0,30,74
0,25,75
0,94,76
0,93,77
0,88,78
0,52,79
0,2,80
0,83,81
0,39,82
0,77,83
0,2,84
0,57,85
0,6,86
0,14,87
0,79,88
0,2,89
0,22,90
0,30,91
0,74,92
0,95,93
0,54,94
0,29,95
0,83,96
0,56,97
0,11,98
0,12,99
0,53,100
0,90,101
0,75,102
0,3,103
0,94,104
0,17,105
0,86,106
0,29,107
0,100,108
0,99,109
0,49,110
0,76,111
0,95,112
0,99,113
0,81,114
0,56,115
0,7,116
0,83,117
0,84,118
0,99,119
0,99,120
0,96,121
0,46,122
0,30,123
0,78,124
0,14,125
0,10,126
0,11,127
0,30,128
0,3,129
0,12,130
0,20,131
0,4,132
0,89,133
0,39,134
0,16,135
0,28,136
0,57,137
0,75,138
0,82,139
0,82,140
0,48,141
0,62,142
0,61,143
0,93,144
0,94,145
0,100,146
0,29,147
0,28,148
0,47,149
0,70,150
0,83,151
0,93,152
0,61,153
0,44,154
0,71,155
0,23,156
0,1,157
0,72,158
0,48,159
0,65,160
0,54,161
0,72,162
0,99,163
0,84,164
0,94,165
0,42,166
0,70,167
0,80,168
0,11,169
0,16,170
0,48,171
0,95,172
0,87,173
0,4,174
0,31,175
0,5,176
0,65,177
0,15,178
0,2,179
0,95,180
0,18,181
0,3,182
0,100,183
0,27,184
0,3,185
0,1,186
0,100,187
0,100,188
0,80,189
0,8,190
0,72,191
0,2,192
0,65,193
0,27,194
0,94,195
0,45,196
0,95,197
0,68,198
0,98,199
0,72,200
0,84,201
0,24,202
0,95,203
0,81,204
0,65,205
0,54,206
0,93,207
0,14,208
0,20,209
0,77,210
0,87,211
0,100,212
0,3,213
0,12,214
0,39,215
0,91,216
0,26,217
0,43,218
0,8,219
0,17,220
0,11,221
