Contents,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 1 ,"Summary: Live births (numbers, rates and percentages): administrative area of usual residence of mother, United Kingdom and constituent countries, 2016",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"England and Wales: regions (within England), unitary authorities, counties, districts, London Boroughs, local health boards (within Wales)",,,,,,,,,,,,,,,,,,,
,"Scotland: council areas, Northern Ireland: 11 new Administrative Areas",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Area of usual residence,,Population,,,Live Births,,,,,,,,,,,,,Maternities,,
,,Numbers (thousands),,,Numbers1,,,,,,,,Rates2,,,Percentages,,Numbers,Rate,
,,Total,Female,Females aged            15 to 44,All,,,Within marriage or civil partnership,Outside marriage or civil partnership,,,,"Crude Birth Rate (CBR): all births per 1,000 population of all ages","General Fertility Rate (GFR): all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR)3,Percentage of live births outside marriage or civil partnership,Percentage of live births under 2.5kg,Total,Maternity Rate4,
,,,,,Total,Male,Female,,Total,Joint registrations same address,Joint registrations different address,Sole registrations,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
K02000001,UNITED KINGDOM,"65,648.0","33,270.4","12,566.0","774,835","397,707","377,128","404,890","369,945","247,222","83,083","39,640",11.8,61.7,1.79,47.7,:,"765,931",61.0,
,,,,,,,,,,,,,,,,,,,,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE5","58,381.2","29,546.3","11,167.2","696,271","357,046","339,225","364,521","331,750","223,711","71,917","36,122",11.9,62.3,1.81,47.6,7.0,"688,262",61.6,
,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,"55,268.1","27,967.1","10,607.6","663,157","340,159","322,998","350,979","312,178","210,483","67,546","34,149",12.0,62.5,1.81,47.1,7.0,"655,467",61.8,
,,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,"2,636.8","1,342.5",487.5,"28,574","14,675","13,899","11,484","17,090","10,451","4,764","1,875",10.8,58.6,1.72,59.8,7.1,"28,214",57.9,
,,,,,,,,,,,,,,,,,,,,
E06000047,County Durham,522.1,265.4,93.9,"5,304","2,749","2,555","1,993","3,311","2,127",853,331,10.2,56.5,1.67,62.4,7.8,"5,233",55.7,
E06000005,Darlington,105.6,54.3,19.0,"1,154",594,560,480,674,431,177,66,10.9,60.6,1.83,58.4,10.2,"1,144",60.1,
E06000001,Hartlepool,92.8,47.5,16.9,"1,051",539,512,286,765,448,230,87,11.3,62.2,1.81,72.8,8.3,"1,038",61.4,
E06000002,Middlesbrough,140.4,71.1,27.6,"1,908",981,927,722,"1,186",617,404,165,13.6,69.0,1.98,62.2,8.9,"1,888",68.3,
E06000057,Northumberland,316.0,161.8,49.4,"2,820","1,383","1,437","1,238","1,582","1,075",347,160,8.9,57.1,1.74,56.1,4.8,"2,780",56.3,
E06000003,Redcar and Cleveland,135.4,69.6,23.1,"1,433",741,692,415,"1,018",647,269,102,10.6,61.9,1.84,71.0,6.7,"1,412",61.0,
E06000004,Stockton-on-Tees,195.7,99.6,36.4,"2,298","1,205","1,093",945,"1,353",825,368,160,11.7,63.2,1.85,58.9,7.7,"2,273",62.5,
,,,,,,,,,,,,,,,,,,,,
E11000007,Tyne and Wear (Met County),"1,128.8",573.1,221.2,"12,606","6,483","6,123","5,405","7,201","4,281","2,116",804,11.2,57.0,1.66,57.1,6.5,"12,446",56.3,
E08000037,Gateshead,201.6,102.4,37.8,"2,286","1,183","1,103","1,000","1,286",769,384,133,11.3,60.5,1.75,56.3,7.1,"2,252",59.6,
E08000021,Newcastle upon Tyne,296.5,146.2,67.8,"3,393","1,724","1,669","1,702","1,691",979,521,191,11.4,50.0,1.56,49.8,5.6,"3,351",49.4,
E08000022,North Tyneside,203.3,105.0,36.9,"2,254","1,165","1,089","1,050","1,204",765,319,120,11.1,61.0,1.80,53.4,5.8,"2,221",60.2,
E08000023,South Tyneside,149.4,77.0,26.7,"1,687",851,836,597,"1,090",616,335,139,11.3,63.1,1.85,64.6,6.7,"1,671",62.5,
E08000024,Sunderland,278.0,142.5,52.0,"2,986","1,560","1,426","1,056","1,930","1,152",557,221,10.7,57.4,1.67,64.6,7.4,"2,951",56.8,
,,,,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST,"7,219.6","3,658.7","1,358.0","86,069","44,292","41,777","39,571","46,498","30,430","10,826","5,242",11.9,63.4,1.85,54.0,7.1,"85,193",62.7,
,,,,,,,,,,,,,,,,,,,,
E06000008,Blackburn with Darwen,147.0,73.6,28.5,"2,156","1,071","1,085","1,141","1,015",672,213,130,14.7,75.7,2.25,47.1,11.9,"2,138",75.1,
E06000009,Blackpool,139.2,70.4,24.1,"1,700",867,833,479,"1,221",809,244,168,12.2,70.6,2.09,71.8,7.2,"1,684",69.9,
E06000049,Cheshire East,376.7,192.1,61.5,"3,822","1,933","1,889","1,958","1,864","1,451",267,146,10.1,62.2,1.93,48.8,6.7,"3,789",61.7,
E06000050,Cheshire West and Chester,335.7,172.0,59.2,"3,565","1,834","1,731","1,758","1,807","1,303",361,143,10.6,60.3,1.83,50.7,6.8,"3,523",59.6,
E06000006,Halton,126.9,64.9,23.6,"1,503",774,729,500,"1,003",634,270,99,11.8,63.6,1.90,66.7,6.1,"1,489",63.0,
E06000007,Warrington,208.8,105.1,37.8,"2,297","1,178","1,119","1,099","1,198",912,199,87,11.0,60.8,1.80,52.2,6.6,"2,262",59.9,
,,,,,,,,,,,,,,,,,,,,
E10000006,Cumbria,497.9,252.3,78.5,"4,758","2,445","2,313","2,083","2,675","2,005",428,242,9.6,60.6,1.86,56.2,6.5,"4,710",60.0,
E07000026,Allerdale,97.0,49.1,15.0,902,474,428,381,521,397,88,36,9.3,60.3,1.87,57.8,5.1,897,60.0,
E07000027,Barrow-in-Furness,67.3,34.1,11.4,780,388,392,265,515,363,96,56,11.6,68.4,2.06,66.0,8.3,771,67.6,
E07000028,Carlisle,108.4,55.5,19.2,"1,170",611,559,510,660,482,108,70,10.8,61.1,1.82,56.4,6.1,"1,162",60.7,
E07000029,Copeland,69.3,34.4,11.1,703,355,348,277,426,298,86,42,10.1,63.3,1.92,60.6,7.0,692,62.3,
E07000030,Eden,52.6,26.6,7.5,409,204,205,205,204,170,22,12,7.8,54.3,1.72,49.9,5.6,404,53.7,
E07000031,South Lakeland,103.3,52.6,14.4,794,413,381,445,349,295,28,26,7.7,55.3,1.77,44.0,7.2,784,54.6,
,,,,,,,,,,,,,,,,,,,,
E11000001,Greater Manchester (Met County),"2,782.1","1,400.3",561.3,"36,889","18,920","17,969","18,338","18,551","11,609","4,761","2,181",13.3,65.7,1.87,50.3,6.5,"36,543",65.1,
E08000001,Bolton,283.1,142.6,53.0,"3,816","2,000","1,816","1,950","1,866","1,231",449,186,13.5,72.0,2.12,48.9,6.6,"3,787",71.5,
E08000002,Bury,188.7,96.2,34.7,"2,362","1,233","1,129","1,268","1,094",745,243,106,12.5,68.1,2.00,46.3,6.1,"2,330",67.2,
E08000003,Manchester,541.3,266.6,139.2,"7,946","4,004","3,942","4,288","3,658","1,954","1,130",574,14.7,57.1,1.64,46.0,6.8,"7,877",56.6,
E08000004,Oldham,232.7,118.0,44.4,"3,327","1,694","1,633","1,739","1,588",968,431,189,14.3,75.0,2.18,47.7,8.3,"3,295",74.3,
E08000005,Rochdale,216.2,109.7,41.6,"3,072","1,595","1,477","1,443","1,629",936,480,213,14.2,73.9,2.16,53.0,6.8,"3,041",73.1,
E08000006,Salford,248.7,123.4,52.9,"3,695","1,934","1,761","1,678","2,017","1,173",604,240,14.9,69.8,1.93,54.6,6.7,"3,670",69.4,
E08000007,Stockport,290.6,148.3,52.0,"3,424","1,729","1,695","1,799","1,625","1,100",370,155,11.8,65.8,1.93,47.5,5.2,"3,384",65.1,
E08000008,Tameside,223.2,113.6,41.9,"2,876","1,501","1,375","1,129","1,747","1,201",375,171,12.9,68.7,1.99,60.7,6.2,"2,858",68.3,
E08000009,Trafford,234.7,119.8,43.3,"2,813","1,377","1,436","1,700","1,113",767,232,114,12.0,64.9,1.91,39.6,5.6,"2,779",64.1,
E08000010,Wigan,323.1,162.2,58.4,"3,558","1,853","1,705","1,344","2,214","1,534",447,233,11.0,60.9,1.79,62.2,6.6,"3,522",60.3,
,,,,,,,,,,,,,,,,,,,,
E10000017,Lancashire,"1,198.8",607.0,213.8,"13,183","6,839","6,344","6,160","7,023","5,025","1,272",726,11.0,61.7,1.85,53.3,7.6,"13,035",61.0,
E07000117,Burnley,87.5,44.3,16.0,"1,207",645,562,477,730,498,150,82,13.8,75.3,2.19,60.5,10.5,"1,196",74.7,
E07000118,Chorley,114.4,57.0,19.9,"1,226",643,583,610,616,478,90,48,10.7,61.5,1.83,50.2,5.6,"1,204",60.4,
E07000119,Fylde,78.0,39.8,11.0,629,324,305,310,319,240,40,39,8.1,57.3,1.79,50.7,6.7,620,56.5,
E07000120,Hyndburn,80.5,40.7,14.9,"1,057",533,524,441,616,424,119,73,13.1,71.2,2.09,58.3,9.7,"1,047",70.5,
E07000121,Lancaster,143.5,72.8,28.5,"1,456",725,731,669,787,534,171,82,10.1,51.1,1.62,54.1,7.5,"1,439",50.5,
E07000122,Pendle,90.6,45.8,16.6,"1,214",625,589,717,497,342,87,68,13.4,73.2,2.12,40.9,8.4,"1,200",72.4,
E07000123,Preston,141.8,70.0,29.6,"1,893",998,895,914,979,669,211,99,13.3,64.0,1.90,51.7,8.6,"1,878",63.5,
E07000124,Ribble Valley,58.8,29.9,9.0,482,257,225,245,237,203,21,13,8.2,53.5,1.75,49.2,4.8,475,52.7,
E07000125,Rossendale,69.9,35.4,12.5,818,437,381,367,451,315,88,48,11.7,65.4,1.97,55.1,8.6,810,64.7,
E07000126,South Ribble,110.1,56.3,19.1,"1,241",597,644,576,665,496,116,53,11.3,64.8,1.95,53.6,5.5,"1,231",64.3,
E07000127,West Lancashire,113.4,58.2,20.2,"1,000",541,459,427,573,436,88,49,8.8,49.5,1.65,57.3,5.5,988,48.9,
E07000128,Wyre,110.3,56.5,16.5,960,514,446,407,553,390,91,72,8.7,58.3,1.79,57.6,7.3,947,57.6,
,,,,,,,,,,,,,,,,,,,,
E11000002,Merseyside (Met County),"1,406.4",720.9,269.8,"16,196","8,431","7,765","6,055","10,141","6,010","2,811","1,320",11.5,60.0,1.75,62.6,7.9,"16,020",59.4,
E08000011,Knowsley,147.9,77.5,28.5,"1,933","1,010",923,516,"1,417",739,504,174,13.1,67.8,1.94,73.3,8.4,"1,914",67.1,
E08000012,Liverpool,484.6,244.4,109.5,"6,030","3,104","2,926","2,253","3,777","2,131","1,069",577,12.4,55.0,1.60,62.6,8.8,"5,955",54.4,
E08000014,Sefton,274.3,142.2,45.0,"2,805","1,467","1,338","1,107","1,698","1,117",402,179,10.2,62.3,1.88,60.5,6.3,"2,784",61.9,
E08000013,St. Helens,178.5,90.8,31.9,"1,994","1,027",967,753,"1,241",791,304,146,11.2,62.5,1.83,62.2,6.6,"1,976",61.9,
