Economic: Left(0) <-> Right(200){uniform},Social: Liberalism(0) <-> Conservatism(200){uniform},Economic: Left <-> Right{gaussian-ish},Social: Liberalism <-> Conservatism{gaussian-ish},id
17,164,-1.4167073289079188,0.9615764821855979,1
192,57,1.7445903641776104,-0.6084306100587205,2
88,114,-0.14290829863229468,0.22631736361611426,3
126,181,0.32696101423472324,1.3232238577649515,4
108,75,0.09881209556696767,-0.3286978176574624,5
15,160,-1.4849087229201186,0.8797559194655948,6
42,199,-0.8091762345895445,2.1861659970202534,7
173,33,1.1238770215232912,-1.0567699298794067,8
160,33,0.838805806927165,-1.056126648025939,9
122,40,0.27845216758793645,-0.9115500022139355,10
176,198,1.1808520659340005,2.0479719734777997,11
100,188,0.011277649116268391,1.5362179222031191,12
111,67,0.1409197804594975,-0.45283730635201236,13
191,81,1.6766701383485454,-0.23870541812968857,14
189,85,1.587847967188537,-0.17306423775875054,15
130,40,0.37876793305422624,-0.9071378321220861,16
197,195,2.0589089219959296,1.840239560710976,17
3,0,-2.130255718664759,-2.2804939314357915,18
6,4,-1.8735543862530923,-1.9397037147456517,19
7,167,-1.8406354587202296,1.0058970355015886,20
193,151,1.7856871892284285,0.7400299304590878,21
111,20,0.13485269662454577,-1.3669220535520081,22
42,126,-0.8160506807288185,0.39046712215099544,23
27,19,-1.130614588705815,-1.372837392888181,24
146,65,0.6071221536007271,-0.4700772609120839,25
51,56,-0.6482763339705166,-0.6303494480486083,26
71,157,-0.35178434752393356,0.8270481290359868,27
28,119,-1.1102291830082132,0.29032475205005265,28
142,106,0.5550430462044291,0.10734944027060891,29
35,153,-0.9427141210250509,0.774601382827351,30
98,169,-0.020588594231047745,1.051521858113686,31
96,7,-0.04365012612488155,-1.765059736242431,32
166,70,0.9639307594195228,-0.39833447988204496,33
199,161,2.4015825613677038,0.9002483382938987,34
1,54,-2.249563464921752,-0.6523655105452801,35
154,127,0.7377518810180221,0.401665666015426,36
43,42,-0.7904503521241881,-0.8789445894828208,37
46,6,-0.7431111873615023,-1.8290978783427347,38
200,183,2.4872628989732566,1.3784554493498644,39
178,109,1.2268896676231116,0.15382849667201234,40
21,79,-1.3039632671977004,-0.26757455480253467,41
130,116,0.3724037922269909,0.2543766141840683,42
190,103,1.6361718470510442,0.07498253272387895,43
90,174,-0.11916594126072876,1.1609888424541184,44
57,40,-0.5516440000076845,-0.904707385951407,45
176,174,1.193338663721701,1.1476355332591521,46
9,39,-1.7178007079508544,-0.9233512953091074,47
4,28,-1.9933490801703357,-1.167121994112545,48
35,59,-0.9430582059484508,-0.5811685358695818,49
34,88,-0.971093609749383,-0.13338119021934733,50
158,19,0.8001866734383579,-1.395932917386299,51
161,88,0.862154271846118,-0.14429701336481232,52
17,10,-1.4195146742284233,-1.6506899272317304,53
146,76,0.6053085574268232,-0.3040882831264576,54
200,67,2.619749226480421,-0.4542895756883593,55
179,61,1.2698460483025964,-0.5429293461571635,56
80,45,-0.2406149843166088,-0.814082125213974,57
156,172,0.772229896345656,1.1041398578038077,58
143,101,0.5693180954493557,0.04619928353828264,59
112,58,0.1543554939690297,-0.5833633180737872,60
190,23,1.6508933049036731,-1.2709686021948636,61
90,35,-0.11492302534173028,-1.0143605003301523,62
3,10,-2.094394311892692,-1.6559567164567472,63
80,123,-0.23356173024647292,0.3408399493264016,64
199,147,2.4395073268204017,0.6833876524985016,65
195,39,1.9064831029141853,-0.9264048504269153,66
32,34,-1.0135359489876161,-1.0262645292431285,67
109,170,0.1121515389178337,1.068446672162164,68
175,81,1.1598938239184722,-0.2390592064000631,69
101,191,0.022741672195722113,1.637608452277253,70
42,134,-0.800329057327959,0.49591790509263944,71
190,107,1.6297401070483755,0.13218566677036053,72
3,191,-2.0780072507037057,1.6527148278514028,73
69,86,-0.3877185570258961,-0.1598499462688208,74
194,118,1.8759837322318889,0.27024239943677836,75
96,5,-0.04313745509923464,-1.8727989055426095,76
39,66,-0.8579525343255273,-0.4610032014708649,77
130,169,0.379934308564654,1.0550146739235378,78
156,63,0.7636288006741638,-0.513344834169737,79
21,200,-1.2890651915966915,2.3127687446220566,80
160,81,0.8366125043557264,-0.24165851204041225,81
62,104,-0.4915078899957576,0.08751487771050316,82
57,17,-0.5573360037863989,-1.4346357961150775,83
123,199,0.2897114932676595,2.2495968758293676,84
156,27,0.7739565149084576,-1.1931176317328187,85
161,159,0.8574925714554795,0.8728522307696338,86
187,143,1.5227506180694317,0.6114233131934624,87
182,147,1.3647526789271607,0.6767029694116807,88
84,121,-0.19443304079857437,0.3144343617502067,89
180,160,1.2854620921300008,0.8763204177230952,90
15,98,-1.496399756269803,-0.0022540050599507483,91
14,40,-1.542341853542743,-0.904432969603243,92
97,69,-0.031609599569312176,-0.416319570049813,93
149,104,0.6532987363655016,0.09188936772248567,94
175,103,1.1538965051425847,0.07404198352816885,95
179,159,1.278327337976359,0.8667581549719805,96
136,184,0.46006884888814087,1.402158732088336,97
114,135,0.17948827473135884,0.4985298095108059,98
127,175,0.3425925189153139,1.1671800131916277,99
47,174,-0.728194880760456,1.1526928476497145,100
200,57,2.5639908188470226,-0.6125116749380312,101
12,96,-1.5933993496766876,-0.028730343614510087,102
187,161,1.5150232787365405,0.9058549982194882,103
16,8,-1.4473987017576186,-1.7374193482851352,104
196,131,2.0484528606012122,0.45818558724019937,105
99,35,-0.004793777113752841,-1.0070420833958902,106
60,131,-0.5188130431304409,0.4591083382722594,107
1,16,-2.3132102794340708,-1.472021905913974,108
0,4,-2.326805081510215,-1.9643738215899818,109
170,160,1.0408231443109306,0.8790987991137218,110
194,73,1.8829050734070554,-0.35155246506662274,111
174,23,1.1397794598384612,-1.2851403381087405,112
3,8,-2.101795746026781,-1.7516554744399768,113
194,165,1.8778265701687338,0.9701826514950198,114
195,118,1.9346078131069773,0.2705853914640695,115
34,195,-0.9712015953193638,1.8490348662744611,116
13,61,-1.5742256420300376,-0.5426068140054777,117
21,67,-1.2960462433868196,-0.43890787414585003,118
11,63,-1.6611950477587323,-0.5147185868599357,119
76,40,-0.2933728948977452,-0.9200304275434618,120
186,8,1.4690250416243749,-1.7246898728798699,121
197,127,2.096324418827427,0.39524520091163323,122
83,176,-0.1966488750535932,1.1923416382860728,123
19,7,-1.3566574676002612,-1.7731736893771828,124
35,134,-0.9535297187457775,0.4876793782709656,125
28,183,-1.1068031761570418,1.3719495756294993,126
86,186,-0.1629781271616986,1.4713764115713448,127
159,118,0.816514434031119,0.273173194140026,128
64,185,-0.45949402949602397,1.4455901781702105,129
104,156,0.05977501058993229,0.815303400239879,130
112,134,0.15707400376501374,0.49046623351317653,131
17,184,-1.417346088232241,1.403226534230743,132
134,125,0.43565294877913563,0.37482886051198355,133
164,145,0.9131062594039273,0.6430643864603692,134
34,198,-0.9787435835809757,2.1004049787214996,135
90,110,-0.11374389635861731,0.1622807920279518,136
176,94,1.193453977731884,-0.0568280539785473,137
115,128,0.19194802519622697,0.4167987688497165,138
192,54,1.7174577431822904,-0.6509044121846886,139
197,86,2.0843776549122053,-0.16147217097061284,140
191,130,1.6895530214357088,0.435771662672217,141
190,85,1.6495298130101184,-0.18347811685710197,142
61,37,-0.5006285930984984,-0.9720642327217287,143
112,37,0.15164284789178212,-0.9735481830316142,144
54,55,-0.6040421494539567,-0.6343037021746305,145
15,194,-1.482606566186505,1.794075464571824,146
192,62,1.72086489908699,-0.5215254239872155,147
167,80,0.9715533812763182,-0.25064653599982256,148
79,177,-0.25151381663447914,1.2292235770781081,149
126,23,0.33066796036878104,-1.2793548606104779,150
95,112,-0.05041991764919714,0.2002963667252026,151
15,69,-1.480407814283104,-0.41785089379396145,152
166,45,0.9696758186360057,-0.810693583135449,153
