"","i","code","constituency","Con","Lab","LD","Brexit","Green","SNP","PC","Other"
"169","169","E14000698","Exeter","30","56"," 0"," 5"," 8"," 0"," 0"," 2"
"170","170","E14000699","Fareham","59","22","16"," 0"," 3"," 0"," 0"," 0"
"171","171","E14000700","Faversham and Mid Kent","63","18","14"," 0"," 4"," 0"," 0"," 2"
"172","172","E14000701","Feltham and Heston","30","52"," 8"," 7"," 4"," 0"," 0"," 0"
"173","173","E14000702","Filton and Bradley Stoke","49","36","10"," 0"," 3"," 0"," 0"," 2"
"174","174","E14000703","Finchley and Golders Green","45","28","27"," 0"," 0"," 0"," 0"," 0"
"175","175","E14000704","Folkestone and Hythe","57","23","12"," 0"," 5"," 0"," 0"," 3"
"176","176","E14000705","Forest of Dean","56","35"," 0"," 0"," 7"," 0"," 0"," 2"
"177","177","E14000706","Fylde","57","27","11"," 0"," 4"," 0"," 0"," 2"
"178","178","E14000707","Gainsborough","63","22","13"," 0"," 0"," 0"," 0"," 2"
"179","179","E14000708","Garston and Halewood","19","62"," 7"," 7"," 4"," 0"," 0"," 2"
"180","180","E14000709","Gateshead","23","49"," 8","16"," 4"," 0"," 0"," 0"
"181","181","E14000710","Gedling","41","44"," 6"," 6"," 2"," 0"," 0"," 0"
"182","182","E14000711","Gillingham and Rainham","56","31"," 8"," 0"," 3"," 0"," 0"," 2"
"183","183","E14000712","Gloucester","50","33"," 8"," 6"," 3"," 0"," 0"," 0"
"184","184","E14000713","Gosport","62","22","11"," 0"," 4"," 0"," 0"," 0"
"185","185","E14000714","Grantham and Stamford","60","22","14"," 0"," 4"," 0"," 0"," 0"
"186","186","E14000715","Gravesham","58","31"," 7"," 0"," 3"," 0"," 0"," 0"
"187","187","E14000716","Great Grimsby","42","37"," 4","13"," 3"," 0"," 0"," 1"
"188","188","E14000717","Great Yarmouth","59","28"," 6"," 0"," 3"," 0"," 0"," 3"
"189","189","E14000718","Greenwich and Woolwich","24","53","13"," 4"," 4"," 0"," 0"," 1"
"190","190","E14000719","Guildford","44"," 9","39"," 0"," 0"," 0"," 0"," 8"
"191","191","E14000720","Hackney North and Stoke Newington","10","67","14"," 2"," 6"," 0"," 0"," 1"
"192","192","E14000721","Hackney South and Shoreditch","10","66","13"," 3"," 7"," 0"," 0"," 1"
"193","193","E14000722","Halesowen and Rowley Regis","60","31"," 5"," 0"," 3"," 0"," 0"," 2"
"194","194","E14000723","Halifax","36","43"," 6","12"," 3"," 0"," 0"," 0"
"195","195","E14000724","Haltemprice and Howden","60","22","13"," 0"," 3"," 0"," 0"," 2"
"196","196","E14000725","Halton","24","55"," 7","11"," 3"," 0"," 0"," 0"
"197","197","E14000726","Hammersmith","24","53","17"," 3"," 4"," 0"," 0"," 0"
"198","198","E14000727","Hampstead and Kilburn","27","47","21"," 2"," 3"," 0"," 0"," 0"
"199","199","E14000728","Harborough","51","25","19"," 0"," 3"," 0"," 0"," 2"
"200","200","E14000729","Harlow","60","32"," 8"," 0"," 0"," 0"," 0"," 0"
"201","201","E14000730","Harrogate and Knaresborough","52","10","36"," 0"," 0"," 0"," 0"," 2"
"202","202","E14000731","Harrow East","48","39","10"," 0"," 2"," 0"," 0"," 0"
"203","203","E14000732","Harrow West","32","49","12"," 4"," 3"," 0"," 0"," 0"
"204","204","E14000733","Hartlepool","31","40"," 5","23"," 0"," 0"," 0"," 2"
"205","205","E14000734","Harwich and North Essex","59","23","12"," 0"," 4"," 0"," 0"," 2"
"206","206","E14000735","Hastings and Rye","49","39","10"," 0"," 0"," 0"," 0"," 2"
"207","207","E14000736","Havant","61","18","13"," 0"," 4"," 0"," 0"," 3"
"208","208","E14000737","Hayes and Harlington","28","54"," 8"," 6"," 3"," 0"," 0"," 1"
"209","209","E14000738","Hazel Grove","48","13","39"," 0"," 0"," 0"," 0"," 0"
"210","210","E14000739","Hemel Hempstead","51","31","14"," 0"," 4"," 0"," 0"," 0"
"211","211","E14000740","Hemsworth","33","39"," 7","16"," 3"," 0"," 0"," 2"
"212","212","E14000741","Hendon","43","40","14"," 0"," 2"," 0"," 0"," 0"
"213","213","E14000742","Henley","52","13","30"," 0"," 4"," 0"," 0"," 0"
"214","214","E14000743","Hereford and South Herefordshire","61","20","14"," 0"," 4"," 0"," 0"," 0"
"215","215","E14000744","Hertford and Stortford","52","19","21"," 0"," 5"," 0"," 0"," 3"
"216","216","E14000745","Hertsmere","58","20","18"," 0"," 4"," 0"," 0"," 0"
"217","217","E14000746","Hexham","56","29","12"," 0"," 3"," 0"," 0"," 0"
"218","218","E14000747","Heywood and Middleton","38","40"," 6","14"," 3"," 0"," 0"," 0"
"219","219","E14000748","High Peak","42","42"," 9"," 5"," 2"," 0"," 0"," 0"
"220","220","E14000749","Hitchin and Harpenden","49","21","28"," 0"," 0"," 0"," 0"," 2"
"221","221","E14000750","Holborn and St Pancras","15","57","19"," 3"," 5"," 0"," 0"," 2"
"222","222","E14000751","Hornchurch and Upminster","64","21"," 8"," 0"," 4"," 0"," 0"," 2"
"223","223","E14000752","Hornsey and Wood Green","12","55","25"," 2"," 4"," 0"," 0"," 1"
"224","224","E14000753","Horsham","54","15","25"," 0"," 4"," 0"," 0"," 2"
"225","225","E14000754","Houghton and Sunderland South","28","45"," 6","16"," 3"," 0"," 0"," 2"
"226","226","E14000755","Hove","25","56"," 9"," 3"," 5"," 0"," 0"," 1"
"227","227","E14000756","Huddersfield","34","45"," 8"," 7"," 6"," 0"," 0"," 0"
"228","228","E14000757","Huntingdon","54","21","18"," 0"," 4"," 0"," 0"," 3"
"229","229","E14000758","Hyndburn","43","39"," 5","10"," 2"," 0"," 0"," 0"
"230","230","E14000759","Ilford North","38","47"," 8"," 4"," 2"," 0"," 0"," 1"
"231","231","E14000760","Ilford South","19","59"," 5"," 4"," 2"," 0"," 0","10"
"232","232","E14000761","Ipswich","43","39"," 7"," 7"," 3"," 0"," 0"," 1"
"233","233","E14000762","Isle of Wight","53","24"," 0"," 0","17"," 0"," 0"," 6"
"234","234","E14000763","Islington North","11","61","16"," 3"," 7"," 0"," 0"," 1"
"235","235","E14000764","Islington South and Finsbury","15","53","21"," 3"," 6"," 0"," 0"," 2"
"236","236","E14000765","Jarrow","26","49"," 5","14"," 4"," 0"," 0"," 2"
"237","237","E14000766","Keighley","43","42"," 6"," 7"," 0"," 0"," 0"," 1"
"238","238","E14000767","Kenilworth and Southam","52","16","26"," 0"," 4"," 0"," 0"," 2"
"239","239","E14000768","Kensington","37","26","29"," 2"," 4"," 0"," 0"," 1"
"240","240","E14000769","Kettering","54","32"," 8"," 0"," 4"," 0"," 0"," 2"
"241","241","E14000770","Kingston and Surbiton","32"," 9","51"," 3"," 3"," 0"," 0"," 1"
"242","242","E14000771","Kingston upon Hull East","29","40"," 6","21"," 4"," 0"," 0"," 0"
"243","243","E14000772","Kingston upon Hull North","25","49"," 7","15"," 4"," 0"," 0"," 0"
"244","244","E14000773","Kingston upon Hull West and Hessle","31","43"," 6","16"," 4"," 0"," 0"," 0"
"245","245","E14000774","Kingswood","51","35"," 9"," 0"," 3"," 0"," 0"," 2"
"246","246","E14000775","Knowsley","15","64"," 6"," 9"," 4"," 0"," 0"," 2"
"247","247","E14000776","Lancaster and Fleetwood","40","43"," 7"," 6"," 4"," 0"," 0"," 0"
"248","248","E14000777","Leeds Central","22","54"," 6"," 9"," 7"," 0"," 0"," 2"
"249","249","E14000778","Leeds East","31","48"," 7","11"," 4"," 0"," 0"," 0"
"250","250","E14000779","Leeds North East","28","51","11"," 5"," 4"," 0"," 0"," 1"
"251","251","E14000780","Leeds North West","18","49","24"," 5"," 3"," 0"," 0"," 0"
"252","252","E14000781","Leeds West","26","51"," 7","10"," 5"," 0"," 0"," 1"
"253","253","E14000782","Leicester East","24","53"," 9"," 6"," 5"," 0"," 0"," 2"
"254","254","E14000783","Leicester South","20","64"," 6"," 5"," 5"," 0"," 0"," 0"
"255","255","E14000784","Leicester West","28","53"," 6"," 9"," 5"," 0"," 0"," 0"
"256","256","E14000785","Leigh","40","39"," 7","12"," 0"," 0"," 0"," 2"
"257","257","E14000786","Lewes","47"," 8","41"," 0"," 3"," 0"," 0"," 2"
"258","258","E14000787","Lewisham East","22","55","13"," 4"," 5"," 0"," 0"," 1"
"259","259","E14000788","Lewisham West and Penge","24","52","14"," 4"," 5"," 0"," 0"," 1"
"260","260","E14000789","Lewisham, Deptford","12","62","15"," 3"," 6"," 0"," 0"," 1"
"261","261","E14000790","Leyton and Wanstead","20","59","12"," 3"," 4"," 0"," 0"," 1"
"262","262","E14000791","Lichfield","61","21","13"," 0"," 4"," 0"," 0"," 2"
