"pano","ons_const_id","constituency_name","country","region","constituency_type","winner_17","con_17","lab_17","ld_17","snp_17","pc_17","ukip_17","green_17","other_17","majority_17","turnout_17","con_vote_17","lab_vote_17","ld_vote_17","snp_vote_17","pc_vote_17","ukip_vote_17","green_vote_17","total_vote_17","rejected_vote_17","electorate_17","seat_change_1517","con_1517","lab_1517","ld_1517","snp_1517","pc_1517","ukip_1517","green_1517","winner_15","con_15","lab_15","ld_15","snp_15","pc_15","ukip_15","green_15","other_15","majority_15","turnout_15","con_vote_15","lab_vote_15","ld_vote_15","snp_vote_15","pc_vote_15","ukip_vote_15","green_vote_15","bnp_vote_15","total_vote_15","rejected_vote_15","electorate_15","seat_change_1015","con_1015","lab_1015","ld_1015","snp_1015","pc_1015","ukip_1015","green_1015","winner_10","con_10","lab_10","ld_10","snp_10","pc_10","ukip_10","green_10","bnp_10","majority_10","turn_10","con_vote_10","lab_vote_10","ld_vote_10","snp_vote_10","pc_vote_10","ukip_vote_10","green_vote_10","bnp_vote_10","total_vote_10","electorate_10","leave_hanretty","remain_hanretty","con_ppc_17","con_ppc_sex_17","lab_ppc_17","lab_ppc_sex_17","ld_ppc_17","ld_ppc_sex_17","snp_ppc_17","snp_ppc_sex_17","pc_ppc_17","pc_ppc_sex_17","ukip_ppc_17","ukip_ppc_sex_17","green_ppc_17","green_ppc_sex_17","con_ppc_15","con_ppc_sex_15","con_ppc_race_15","lab_ppc_15","lab_ppc_sex_15","lab_ppc_race_15","ld_ppc_15","ld_ppc_sex_15","ld_ppc_race_15","snp_ppc_15","snp_ppc_sex_15","snp_ppc_race_15","pc_ppc_15","pc_ppc_sex_15","pc_ppc_race_15","ukip_ppc_15","ukip_ppc_sex_15","ukip_ppc_race_15","green_ppc_15","green_ppc_sex_15","green_ppc_race_15"
11,"E14000533","Amber Valley","England","East Midlands","County","Conservative",56.5475540808976,38.4296348038681,2.40117002466656,NA,NA,NA,1.41887319639388,1.20276789417389,18.1179192770295,67.3047821934915,25905,17605,1100,NA,NA,NA,650,45811,99,68065,NA,12.5682903496816,3.64826244785171,-0.573653345195849,NA,NA,-15.8868692171402,-0.958798129371153,"Conservative",43.979263731216,34.7813723560164,2.97482336986241,NA,NA,15.8868692171402,2.37767132576503,NA,9.1978913751996,65.7703927492447,20106,15901,1360,NA,NA,7263,1087,NA,45717,103,69510,NA,5.36926373121596,-2.66862764398364,-11.4651766301376,NA,NA,13.9168692171402,2.37767132576503,"Conservative",38.61,37.45,14.44,NA,NA,1.97,NA,6.95,1.2,65.5,17746,17210,6636,NA,NA,906,NA,3195,45958,70171,65.29912472,34.70087528,"Mills, Nigel","Man","Dawson, James","Man","Smith, Kate","Woman",NA,NA,NA,NA,NA,NA,"McGuinness, Matt","Man","Mills, Nigel John","Man","White","Gillott, Kevin","Man","White","Smith, Kate","Woman","White",NA,NA,NA,NA,NA,NA,"Bent, Stuart","Man","White","Devine, John","Man","White"
12,"S14000004","Angus","Scotland","Scotland","County","Conservative",45.1532643312102,13.0200039808917,3.25437898089172,38.5723527070064,NA,NA,NA,NA,6.58091162420382,62.9573934837093,18148,5233,1308,15503,NA,NA,NA,40192,65,63840,"Conservative gain from Scottish National Party",16.1547254978956,4.21029284230568,0.520873304821134,-15.6706505525193,NA,-3.04597055187142,-2.16927054063167,"Scottish National Party",28.9985388333146,8.80971113858604,2.73350567607059,54.2430032595257,NA,3.04597055187142,2.16927054063167,NA,25.2444644262111,67.6146035992218,12900,3919,1216,24130,NA,1355,965,NA,44485,35,65792,NA,-1.9214611666854,-8.41028886141396,-8.03649432392941,14.6730032595257,NA,1.52597055187142,2.16927054063167,"Scottish National Party",30.92,17.22,10.77,39.57,NA,1.52,NA,NA,8.7,60.4,11738,6535,4090,15020,NA,577,NA,NA,37960,62860,48.2443342,51.7556658,"Hair, Kirstene","Woman","Campbell, William","Man","Sneddon, Clive","Man","Weir, Mike","Man",NA,NA,NA,NA,NA,NA,"Wann, Derek William","Man","White","McMahon, Gerard Francis","Man","White","Samani, Sanjay Ramniklal","Man","BME","Weir, Michael","Man","White",NA,NA,NA,"Walker, Calum David Alexander","Man","White","Mumford, David Christopher","Man","White"
16,"W07000057","Arfon","Wales","Wales","County","Plaid Cymru",16.3570618264322,40.5097844583097,2.29722064662507,NA,40.835933068633,NA,NA,NA,0.326148610323313,68.1896197452075,4614,11427,648,NA,11519,NA,NA,28208,67,41367,NA,3.23711548369644,10.2455969559808,-0.37819016680415,NA,-3.09595201539278,-8.48455490554086,NA,"Plaid Cymru",13.1199463427358,30.2641875023289,2.67541081342922,NA,43.9318850840258,8.48455490554086,NA,1.52401535193949,13.6676975816969,66.2772893411044,3521,8122,718,NA,11790,2277,NA,NA,26837,95,40492,NA,-3.81005365726423,-0.135812497671122,-11.3845891865708,NA,7.95188508402579,5.85455490554086,NA,"Plaid Cymru",16.93,30.4,14.06,NA,35.98,2.63,NA,NA,5.6,63.3,4416,7928,3666,NA,9383,685,NA,NA,26078,41198,35.84544298,64.15455702,"Parry, Phillippa","Woman","Griffiths Clarke, Mary","Woman","Davies, Calum","Man",NA,NA,"Williams, Hywel","Man",NA,NA,NA,NA,"Barry, Anwen","Woman","White","Pugh, Alun","Man","White","Shultan, Mohammed","Man","BME",NA,NA,NA,"Williams, Hywel","Man","White","Wall, Simon","Man","White",NA,NA,NA
17,"S14000005","Argyll and Bute","Scotland","Scotland","County","Scottish National Party",33.2355572198298,12.5735921279827,18.1925981401735,35.998252512014,NA,NA,NA,NA,2.76269529218415,71.4993306559572,15976,6044,8745,17304,NA,NA,NA,48069,69,67230,NA,18.3308678225321,2.17712314970464,-9.72791532281052,-8.25323641499487,NA,-2.52683923443132,NA,"Scottish National Party",14.9046893972978,10.396468978278,27.920513462984,44.2514889270089,NA,2.52683923443132,NA,NA,16.3309754640248,75.3292196007259,7733,5394,14486,22959,NA,1311,NA,NA,51883,59,68875,"Scottish National Party gain from Liberal Democrat",-9.12531060270224,-12.333531021722,-3.68948653701598,25.3114889270088,NA,2.52683923443132,NA,"Liberal Democrat",24.03,22.73,31.61,18.94,NA,NA,1.75,NA,7.6,67.3,10861,10274,14292,8563,NA,NA,789,NA,45207,67165,39.43239691,60.56760309,"Mulvaney, Gary","Man","Kelly, Michael","Man","Reid, Alan","Man","O'Hara, Brendan","Man",NA,NA,NA,NA,NA,NA,"Redman, Alastair","Man","White","Galbraith, Mary","Woman","White","Reid, Alan","Man","White","O'Hara, Brendan","Man","White",NA,NA,NA,"Santos, Caroline","Woman","White",NA,NA,NA
18,"E14000534","Arundel and South Downs","England","South East","County","Conservative",62.3556160382369,22.7197291556028,7.93779872543813,NA,NA,2.76818906001062,4.21866702071163,-1.4210854715202e-14,39.6358868826341,75.8146908578475,37573,13690,4783,NA,NA,1668,2542,60256,154,79478,NA,1.56803879440309,11.5222505359877,0.745490352118019,NA,NA,-11.6695466554134,-2.16623302709544,"Conservative",60.7875772438338,11.1974786196151,7.19230837332011,NA,NA,14.437735715424,6.38490004780707,NA,46.3498415284098,73.1169570958805,34331,6324,4062,NA,NA,8154,3606,NA,56477,242,77242,NA,3.02757724383377,2.55747861961506,-20.7476916266799,NA,NA,8.76773571542398,6.38490004780707,"Conservative",57.76,8.64,27.94,NA,NA,5.67,NA,NA,29.8,72.2,32333,4835,15642,NA,NA,3172,NA,NA,55982,76835,49.70110581,50.29889419,"Herbert, Nick","Man","Fife, Caroline","Woman","Kapadia, Shweta","Woman",NA,NA,NA,NA,"Wallace, John","Man","Prior, Johanna","Woman","Herbert, Nick","Man","White","Wellbelove, Christopher Robin","Man","White","Kapadia, Shweta","Woman","BME",NA,NA,NA,NA,NA,NA,"Grace, Peter","Man","White","Thurston, Isabel Jane","Woman","White"
19,"E14000535","Ashfield","England","East Midlands","County","Labour",41.6938371371992,42.5759606344888,1.93827135799012,NA,NA,3.77052787390235,0.796111455603785,9.2252915408157,0.882123497289621,64.0312003688714,20844,21285,969,NA,NA,1885,398,49993,62,78076,NA,19.2761527312847,1.55421370879962,-12.890136750175,NA,NA,-17.6389091528225,NA,"Labour",22.4176844059145,41.0217469256892,14.8284081081651,NA,NA,21.4094370267249,NA,0.322723533506296,18.6040625197747,61.4974510643266,10628,19448,7030,NA,NA,10150,NA,NA,47409,209,77091,NA,0.21768440591449,7.33174692568922,-18.4715918918349,NA,NA,19.4694370267249,NA,"Labour",22.2,33.69,33.3,NA,NA,1.94,NA,5.77,0.4,62.3,10698,16239,16047,NA,NA,933,NA,2781,48196,77379,70.47288884,29.52711116,"Harper, Tony","Man","De Piero, Gloria","Woman","Charlesworth, Bob","Man",NA,NA,NA,NA,"Young, Ray","Man","Rangi, Arran","Man","Harrison, Helen Jane","Woman","White","De Piero, Gloria","Woman","White","Smith, Philip Ashley","Man","White",NA,NA,NA,NA,NA,NA,"Ashcroft, Simon Paul","Man","White",NA,NA,NA
20,"E14000536","Ashford","England","South East","County","Conservative",58.9822809332153,29.7934167237262,5.17877720068805,NA,NA,3.70413667562919,2.34138846674126,NA,29.1888642094891,68.5216336526028,35318,17840,3101,NA,NA,2218,1402,59879,135,87387,NA,6.52812211009602,11.3523653397758,-0.804977941193004,NA,NA,-15.116891003378,-1.95861850530085,"Conservative",52.4541588231193,18.4410513839504,5.98375514188106,NA,NA,18.8210276790072,4.30000697204211,NA,33.6331311441121,67.3562111837703,30094,10580,3433,NA,NA,10798,2467,NA,57372,175,85177,NA,-1.68584117688071,1.76105138395036,-16.8162448581189,NA,NA,14.2810276790072,2.46000697204211,"Conservative",54.14,16.68,22.8,NA,NA,4.54,1.84,NA,31.3,67.9,29878,9204,12581,NA,NA,2508,1014,NA,55185,81271,59.86194744,40.13805256,"Green, Damian","Man","Gathern, Sally","Woman","Gee-Turner, Adrian","Man",NA,NA,NA,NA,"O'Brien, Gerald","Man","Rossi, Mandy","Woman","Green, Damian Howard","Man","White","Chilton, Brendan","Man","White","Enever, Debbie","Woman","White",NA,NA,NA,NA,NA,NA,"O'Brien, Gerald Michael","Man","White","Rossi, Mandy","Woman","White"
21,"E14000537","Ashton-under-Lyne","England","North West","Borough","Labour",31.9563522992985,60.3550147084706,1.6242174339376,NA,NA,4.72179619339753,1.34261936489578,-1.4210854715202e-14,28.3986624091721,60.4903347477605,12710,24005,646,NA,NA,1878,534,39773,82,65751,NA,9.83291327365486,10.5939786840089,-0.798825887918615,NA,NA,-17.0367731061554,-2.59129296358975,"Labour",22.1234390256437,49.7610360244617,2.42304332185621,NA,NA,21.7585692995529,3.93391232848553,NA,27.637596998818,56.9451150812812,8610,19366,943,NA,NA,8468,1531,NA,38918,198,68343,NA,-2.62656097435634,1.35103602446169,-12.4169566781438,NA,NA,17.3685692995529,3.93391232848553,"Labour",24.75,48.41,14.84,NA,NA,4.39,NA,7.62,23.7,56.9,9510,18604,5703,NA,NA,1686,NA,2929,38432,67560,61.80980255,38.19019745,"Rankin, Jack","Man","Rayner, Angela","Woman","Hicks, Carly","Woman",NA,NA,NA,NA,"Jackson, Maurice","Man","Hunter-Rossall, Andy","Man","Sutton, Tracy","Woman","White","Rayner, Angela","Woman","White","Hicks, Carly May","Woman","White",NA,NA,NA,NA,NA,NA,"Jackson, Maurice","Man","White","Hughes, Charlotte Jane","Woman","White"
22,"E14000538","Aylesbury","England","South East","County","Conservative",54.9699743123012,30.0375959035776,9.62863412891482,NA,NA,2.20471905142643,2.10434989707909,1.0547267067009,24.9323784087236,71.2124148959368,32313,17657,5660,NA,NA,1296,1237,58783,122,82546,NA,4.29601772701454,14.8965792847284,-0.990467623191856,NA,NA,-17.5087366226204,-1.74811947263166,"Conservative",50.6739565852866,15.1410166188491,10.6191017521067,NA,NA,19.7134556740468,3.85246936971075,NA,30.9605009112398,69.0020544107576,28083,8391,5885,NA,NA,10925,2135,NA,55419,235,80315,NA,-1.49604341471336,2.55101661884913,-17.8208982478933,NA,NA,12.9134556740468,3.85246936971075,"Conservative",52.17,12.59,28.44,NA,NA,6.8,NA,NA,23.7,68.2,27736,6695,15118,NA,NA,3613,NA,NA,53162,77844,51.78790984,48.21209016,"Lidington, David","Man","Bateman, Mark","Man","Lambert, Steven","Man",NA,NA,NA,NA,"Srao, Vijay","Man","Simpson, Coral","Woman","Lidington, David Roy","Man","White","Cass, Will","Man","White","Lambert, Steven Michael","Man","White",NA,NA,NA,NA,NA,NA,"Adams, Chris","Man","White","Lyons, David Richard","Man","White"
23,"S14000006","Ayr, Carrick and Cumnock","Scotland","Scotland","County","Conservative",40.1324044827139,23.8501146640128,1.88654753147852,34.1309333217948,NA,NA,NA,NA,6.00147116091904,64.881177973358,18550,11024,872,15776,NA,NA,NA,46222,74,71241,"Conservative gain from Scottish National Party",20.298659342987,-3.39997631646949,0.248898850216665,-14.6958973012778,NA,-2.45168457545634,NA,"Scottish National Party",19.8337451397269,27.2500909804823,1.63764868126185,48.8268306230726,NA,2.45168457545634,NA,NA,21.5767396425904,71.5240769915748,10355,14227,855,25492,NA,1280,NA,NA,52209,59,72995,"Scottish National Party gain from Labour",-5.70625486027313,-19.8899090195177,-7.65235131873815,30.7968306230726,NA,2.45168457545634,NA,"Labour",25.54,47.14,9.29,18.03,NA,NA,NA,NA,21.6,62.6,11721,21632,4264,8276,NA,NA,NA,NA,45893,73320,44.11155085,55.88844915,"Grant, Bill","Man","Mochan, Carol","Woman","Leslie, Callum","Man","Wilson, Corri","Woman",NA,NA,NA,NA,NA,NA,"Lyons, Scott Lee","Man","White","Osborne, Sandra Currie","Woman","White","Brodie, Richard John","Man","White","Wilson, Corri","Woman","White",NA,NA,NA,"Adam-Smith, Joseph William","Man",NA,NA,NA,NA
