"pano","ons_const_id","constituency_name","country","region","constituency_type","winner_17","con_17","lab_17","ld_17","snp_17","pc_17","ukip_17","green_17","other_17","majority_17","turnout_17","con_vote_17","lab_vote_17","ld_vote_17","snp_vote_17","pc_vote_17","ukip_vote_17","green_vote_17","total_vote_17","rejected_vote_17","electorate_17","seat_change_1517","con_1517","lab_1517","ld_1517","snp_1517","pc_1517","ukip_1517","green_1517","winner_15","con_15","lab_15","ld_15","snp_15","pc_15","ukip_15","green_15","other_15","majority_15","turnout_15","con_vote_15","lab_vote_15","ld_vote_15","snp_vote_15","pc_vote_15","ukip_vote_15","green_vote_15","bnp_vote_15","total_vote_15","rejected_vote_15","electorate_15","seat_change_1015","con_1015","lab_1015","ld_1015","snp_1015","pc_1015","ukip_1015","green_1015","winner_10","con_10","lab_10","ld_10","snp_10","pc_10","ukip_10","green_10","bnp_10","majority_10","turn_10","con_vote_10","lab_vote_10","ld_vote_10","snp_vote_10","pc_vote_10","ukip_vote_10","green_vote_10","bnp_vote_10","total_vote_10","electorate_10","leave_hanretty","remain_hanretty","con_ppc_17","con_ppc_sex_17","lab_ppc_17","lab_ppc_sex_17","ld_ppc_17","ld_ppc_sex_17","snp_ppc_17","snp_ppc_sex_17","pc_ppc_17","pc_ppc_sex_17","ukip_ppc_17","ukip_ppc_sex_17","green_ppc_17","green_ppc_sex_17","con_ppc_15","con_ppc_sex_15","con_ppc_race_15","lab_ppc_15","lab_ppc_sex_15","lab_ppc_race_15","ld_ppc_15","ld_ppc_sex_15","ld_ppc_race_15","snp_ppc_15","snp_ppc_sex_15","snp_ppc_race_15","pc_ppc_15","pc_ppc_sex_15","pc_ppc_race_15","ukip_ppc_15","ukip_ppc_sex_15","ukip_ppc_race_15","green_ppc_15","green_ppc_sex_15","green_ppc_race_15"
189,"E14000678","East Devon","England","South West","County","Conservative",48.5343314232718,11.3560332549435,2.43118810241463,NA,NA,1.99231559073896,NA,35.686131628631,13.3086019012288,73.3067051924875,29306,6857,1468,NA,NA,1203,NA,60382,61,82369,NA,2.11183018965157,1.13800229564386,-4.35829231500592,NA,NA,-10.5631973211531,NA,"Conservative",46.4225012336203,10.2180309592997,6.78948041742055,NA,NA,12.5555129118921,NA,24.0144744777674,22.4080267558528,71.5077301062481,25401,5591,3715,NA,NA,6870,NA,NA,54717,217,76519,NA,-1.90749876637973,-0.56196904070033,-24.3805195825795,NA,NA,4.3655129118921,NA,"Conservative",48.33,10.78,31.17,NA,NA,8.19,1.54,NA,17.2,72.6,25662,5721,16548,NA,NA,4346,815,NA,53092,73109,50.4076662,49.5923338,"Swire, Hugo","Man","Ross, Jan","Woman","Eden, Alison","Woman",NA,NA,NA,NA,"Graham, Brigitte","Woman",NA,NA,"Swire, Hugo G W","Man","White","Race, Stephen","Man","White","Mole, Stuart","Man","White",NA,NA,NA,NA,NA,NA,"Chapman, Andrew H","Man","White",NA,NA,NA
190,"E14000838","North Devon","England","South West","County","Conservative",45.8073781527691,12.6792927026299,38.0306974239296,NA,NA,2.13086796517368,1.35176375549771,NA,7.77668072883942,73.4884764053245,25517,7063,21185,NA,NA,1187,753,55705,66,75801,NA,3.10669007937456,5.60933857418956,8.58689008448008,NA,NA,-12.6225724017988,-4.4165848683555,"Conservative",42.7006880733945,7.06995412844037,29.4438073394495,NA,NA,14.7534403669725,5.76834862385321,0.263761467889908,13.256880733945,70.005485903903,22341,3699,15405,NA,NA,7719,3018,NA,52320,133,74737,"Conservative gain from Liberal Democrat",6.68068807339449,1.86995412844037,-17.9161926605505,NA,NA,7.50344036697248,4.40834862385321,"Liberal Democrat",36.02,5.2,47.36,NA,NA,7.25,1.36,1.2,11.3,68.9,18484,2671,24305,NA,NA,3720,697,614,51321,74508,57.03847943,42.96152057,"Heaton-Jones, Peter","Man","Cann, Mark","Man","Harvey, Nick","Man",NA,NA,NA,NA,"Crowther, Stephen","Man","Knight, Ricky","Man","Heaton-Jones, Peter","Man","White","Cann, Mark Michael Robert","Man","White","Harvey, Nick","Man","White",NA,NA,NA,NA,NA,NA,"Crowther, Steve","Man","White","Knight, Ricky","Man","White"
191,"E14000950","South West Devon","England","South West","County","Conservative",59.8482698601888,29.9260268270995,5.16866261800708,NA,NA,2.91352138789564,2.14351930680894,NA,29.9222430330893,74.1748526522593,31634,15818,2732,NA,NA,1540,1133,52857,97,71260,NA,3.26921800598409,13.2679628232879,-2.30969837619605,NA,NA,-11.590568185677,-2.63691426739896,"Conservative",56.5790518542047,16.6580640038116,7.47836099420313,NA,NA,14.5040895735726,4.78043357420789,NA,39.9209878503931,70.9115224889139,28500,8391,3767,NA,NA,7306,2408,NA,50372,122,71035,NA,0.609051854204722,4.23806400381164,-16.6616390057969,NA,NA,8.31408957357262,3.49043357420789,"Conservative",55.97,12.42,24.14,NA,NA,6.19,1.29,NA,31.8,71.2,27908,6193,12034,NA,NA,3084,641,NA,49860,70813,55.07620277,44.92379723,"Streeter, Gary","Man","Davey, Philippa","Woman","Voaden, Caroline","Woman",NA,NA,NA,NA,"Ross, Ian","Man","Scutt, Win","Man","Streeter, Gary Nicholas","Man","White","Singh, Charanjeet (Chaz)","Man","BME","Davies, Tom","Man","White",NA,NA,NA,NA,NA,NA,"Julian, Robin","Man","White","Scutt, Win","Man","White"
192,"E14001000","Torridge and West Devon","England","South West","County","Conservative",56.5097511768662,21.7316745124412,17.6967047747142,NA,NA,NA,2.72696704774714,1.33490248823134,34.778076664425,73.8661765436392,33612,12926,10526,NA,NA,NA,1622,59480,144,80524,NA,5.65792027060292,11.1014610245294,4.47211831917905,NA,NA,-18.3285027569631,-4.23789934557959,"Conservative",50.8518309062633,10.6302134879118,13.2245864555351,NA,NA,18.3285027569631,6.96486639332674,NA,32.5233281493002,71.970593098536,28774,6015,7483,NA,NA,10371,3941,NA,56584,202,78621,NA,5.19183090626326,5.35021348791178,-27.0854135444649,NA,NA,12.8585027569631,5.06486639332674,"Conservative",45.66,5.28,40.31,NA,NA,5.47,1.9,1.39,5.3,72.2,25230,2917,22273,NA,NA,3021,1050,766,55257,77360,57.1897604,42.8102396,"Cox, Geoffrey","Man","Barry, Vince","Man","Chalmers, David","Man",NA,NA,NA,NA,NA,NA,"Jordan, Chris","Man","Cox, Geoffrey","Man","White","Sparling, Mike","Man","White","Dolphin, Paula","Woman","White",NA,NA,NA,NA,NA,NA,"Sargent, Derek","Man","White","Simmons, Cathrine Hannah","Woman","White"
193,"E14000666","Dewsbury","England","Yorkshire and The Humber","County","Labour",45.0844460164471,50.9576443540543,2.14696259616235,NA,NA,NA,1.81094703333628,NA,5.87319833760722,69.5142790406058,25493,28814,1214,NA,NA,NA,1024,56545,155,81343,NA,6.01116613578326,9.17878923565041,-1.44058168875281,NA,NA,-12.3979116166325,-0.736134823833214,"Labour",39.0732798806638,41.7788551184039,3.58754428491516,NA,NA,12.3979116166325,2.54708185716949,0.615327242215178,2.70557523774007,67.2307885169863,20955,22406,1924,NA,NA,6649,1366,NA,53630,238,79770,"Labour gain from Conservative",4.08327988066381,9.60885511840388,-13.3524557150848,NA,NA,12.3979116166325,0.977081857169495,"Conservative",34.99,32.17,16.94,NA,NA,NA,1.57,6.05,2.8,68.5,18898,17372,9150,NA,NA,NA,849,3265,54008,78910,57.14654852,42.85345148,"Prescott, Beth","Woman","Sherriff, Paula","Woman","Hussain, Ednan","Man",NA,NA,NA,NA,NA,NA,"Cope, Simon","Man","Reevell, Simon Justin","Man","White","Sherriff, Paula Michelle","Woman","White","Hussain, Ednan","Man","BME",NA,NA,NA,NA,NA,NA,"Thackray, Mark Anthony","Man","White","Cruden, Adrian Hugh","Man","White"
194,"E14000667","Don Valley","England","Yorkshire and The Humber","County","Labour",41.7108810994172,52.9507697660259,1.86135513612247,NA,NA,NA,NA,3.47699399843437,11.2398886666087,62.1543451817813,19182,24351,856,NA,NA,NA,NA,45988,95,73990,NA,16.4413805580624,6.76849795884237,-1.63862132671235,NA,NA,-23.4500776726451,NA,"Labour",25.2695005413548,46.1822718071835,3.49997646283482,NA,NA,23.4500776726451,NA,1.59817351598174,20.9127712658287,59.5884935272584,10736,19621,1487,NA,NA,9963,NA,NA,42486,171,71299,NA,-4.3804994586452,8.25227180718355,-13.5900235371652,NA,NA,19.0700776726451,NA,"Labour",29.65,37.93,17.09,NA,NA,4.38,NA,4.86,8.3,59.3,12877,16472,7422,NA,NA,1904,NA,2112,43420,72597,68.48643718,31.51356282,"Bell, Aaron","Man","Flint, Caroline","Woman","Smith, Anthony","Man",NA,NA,NA,NA,NA,NA,NA,NA,"Jackson, Carl James","Man","White","Flint, Caroline Louise","Woman","White","Paterson, Rene","Man","White",NA,NA,NA,NA,NA,NA,"Aston, Charles Guy","Man","White",NA,NA,NA
195,"E14000668","Doncaster Central","England","Yorkshire and The Humber","Borough","Labour",34.3622164373373,57.9095388620305,2.26152844923763,NA,NA,NA,NA,5.46671625139457,23.5473224246932,59.9905184193647,14784,24915,973,NA,NA,NA,NA,43024,122,71718,NA,13.6150615635125,8.82492728360397,-1.98636863141551,NA,NA,-24.1142998515586,NA,"Labour",20.7471548738248,49.0846115784265,4.24789708065314,NA,NA,24.1142998515586,NA,1.80603661553686,24.9703117268679,56.8207377417904,8386,19840,1717,NA,NA,9747,NA,NA,40420,208,71136,NA,-4.02284512617516,9.39461157842653,-16.8221029193469,NA,NA,20.7142998515586,NA,"Labour",24.77,39.69,21.07,NA,NA,3.4,NA,4.22,14.9,55.5,10340,16569,8795,NA,NA,1421,NA,1762,41745,72985,66.70483969,33.29516031,"Hunt, Tom","Man","Winterton, Rosie","Woman","Brelsford, Alison","Woman",NA,NA,NA,NA,NA,NA,NA,NA,"Metcalfe, Zoe","Woman","White","Winterton, Rosie","Woman","White","Brown, John","Man","White",NA,NA,NA,NA,NA,NA,"Hodgson, Chris","Man","White",NA,NA,NA
196,"E14000669","Doncaster North","England","Yorkshire and The Humber","County","Labour",27.6210058612214,60.7652675363963,1.66855738324825,NA,NA,6.47097750047268,NA,3.47419171866136,33.1442616751749,58.4605606753527,11687,25711,706,NA,NA,2738,NA,42312,76,72377,NA,9.30501386101888,8.34127827030176,-0.875682003096399,NA,NA,-16.130981943592,-1.91640717956507,"Labour",18.3159920002025,52.4239892660945,2.54423938634465,NA,NA,22.6019594440647,1.91640717956507,2.19741272372851,29.8220298220298,55.6438321430081,7235,20708,1005,NA,NA,8928,757,NA,39501,166,70989,NA,-2.72400799979747,5.08398926609453,-12.3357606136554,NA,NA,18.2719594440647,1.91640717956507,"Labour",21.04,47.34,14.88,NA,NA,4.33,NA,6.79,26.3,57.3,8728,19637,6174,NA,NA,1797,NA,2818,41483,71681,71.65068615,28.34931385,"Adoh, Shade","Woman","Miliband, Edward","Man","Adamson, Robert","Man",NA,NA,NA,NA,"Parkinson, Kim","Man",NA,NA,"Fletcher, Mark Peter","Man","White","Miliband, Ed","Man","White","Baker, Penny","Woman","White",NA,NA,NA,NA,NA,NA,"Parkinson, Kim","Man","White","Kennedy, Peter","Man","White"
197,"E14000815","Mid Dorset and North Poole","England","South West","County","Conservative",59.2386123430182,13.3108136113068,27.450574045675,NA,NA,NA,NA,1.4210854715202e-14,31.7880382973432,74.1798616448885,28585,6423,13246,NA,NA,NA,NA,48254,145,65050,NA,8.40095992038545,7.36014800559488,-0.741430083446087,NA,NA,-12.1787565323985,-2.8409213101357,"Conservative",50.8376524226327,5.95066560571195,28.1920041291211,NA,NA,12.1787565323985,2.8409213101357,NA,22.6456482935117,72.3168322991026,23639,2767,13109,NA,NA,5663,1321,NA,46499,137,64299,"Conservative gain from Liberal Democrat",6.31765242263274,0.0806656057119506,-16.9079958708789,NA,NA,7.66875653239855,2.8409213101357,"Liberal Democrat",44.52,5.87,45.1,NA,NA,4.51,NA,NA,0.6,64.4,20831,2748,21100,NA,NA,2109,NA,NA,46788,64660,57.08316477,42.91683523,"Tomlinson, Michael","Man","Brew, Steve","Man","Slade, Vikki","Woman",NA,NA,NA,NA,NA,NA,NA,NA,"Tomlinson, Michael James","Man","White","Canavan, Patrick","Man","White","Slade, Vikki","Woman","White",NA,NA,NA,NA,NA,NA,"Turner, Richard","Man","White","Chivers, Mark","Man","White"
198,"E14000839","North Dorset","England","South West","County","Conservative",64.907400760893,18.64905606202,13.5596870289283,NA,NA,NA,2.88385614815878,1.4210854715202e-14,46.258344698873,73.0098003249306,36169,10392,7556,NA,NA,NA,1607,55724,167,76324,NA,8.28662713534272,9.68586415418067,1.89723502930292,NA,NA,-17.0628453685492,-2.80688095027711,"Conservative",56.6207736255502,8.96319190783928,11.6624519996254,NA,NA,17.0628453685492,5.69073709843589,NA,39.557928257001,72.3776081562928,30227,4785,6226,NA,NA,9109,3038,NA,53385,160,73759,NA,5.57077362555025,3.59319190783928,-25.3075480003746,NA,NA,11.8728453685492,4.68073709843589,"Conservative",51.05,5.37,36.97,NA,NA,5.19,1.01,NA,14.1,73.5,27640,2910,20015,NA,NA,2812,546,NA,54141,73741,56.60860284,43.39139716,"Hoare, Simon","Man","Osborne, Pat","Man","Panton, Thomas","Man",NA,NA,NA,NA,NA,NA,"Tutton, John","Man","Hoare, Simon James","Man","White","Fendley, Kim","Man","White","Miéville, Hugo Antjhony","Man","White",NA,NA,NA,NA,NA,NA,"Unwin, Steve","Man","White","Barrington, Richard Simon","Man","White"
199,"E14000936","South Dorset","England","South West","County","Conservative",56.130312487959,33.5991985512272,5.88178630601472,NA,NA,NA,4.38870265479906,NA,22.5311139367318,71.7696998188681,29135,17440,3053,NA,NA,NA,2278,51906,103,72323,NA,7.24663654088408,9.3960584396977,-0.0877179843735769,NA,NA,-15.0297343457415,-0.292656276822234,"Conservative",48.8836759470749,24.2031401115295,5.9695042903883,NA,NA,15.0297343457415,4.68135893162129,1.23258637364446,24.6805358355454,67.935527161909,23756,11762,2901,NA,NA,7304,2275,NA,48597,140,71534,NA,3.83367594707492,-6.05685988847048,-13.0304957096117,NA,NA,10.9897343457415,3.50135893162129,"Conservative",45.05,30.26,19,NA,NA,4.04,1.18,NA,14.8,68.1,22667,15224,9557,NA,NA,2034,595,NA,50310,73838,59.44560911,40.55439089,"Drax, Richard","Man","Warr, Tashi","Woman","Legg, Howard","Man",NA,NA,NA,NA,NA,NA,"Orrell, Jon","Man","Drax, Richard","Man","White","Bowkett, Simon","Man","White","Legg, Howard","Man",NA,NA,NA,NA,NA,NA,NA,"Shakesby, Malcolm Leonard","Man","White","Burnet, Jane","Woman","White"
200,"E14001031","West Dorset","England","South West","County","Conservative",55.5068962045706,18.2824927010974,23.4739420785932,NA,NA,NA,2.73666901573878,NA,32.0329541259774,72.435796152023,33081,10896,13990,NA,NA,NA,1631,59598,152,82277,NA,5.32977338760934,8.3051644216684,1.86672963748657,NA,NA,-12.4960147366184,-3.00565271014594,"Conservative",50.1771228169613,9.97732827942896,21.6072124411067,NA,NA,12.4960147366184,5.74232172588473,NA,28.5699103758546,72.3820512820513,28329,5633,12199,NA,NA,7055,3242,NA,56458,185,78000,NA,2.58712281696128,3.32732827942896,-19.1427875588933,NA,NA,8.66601473661837,4.56232172588473,"Conservative",47.59,6.65,40.75,NA,NA,3.83,1.18,NA,6.8,74.6,27287,3815,23364,NA,NA,2196,675,NA,57337,76869,51.0392986,48.9607014,"Letwin, Oliver","Man","Rhodes, Lee","Man","Canning, Andy","Man",NA,NA,NA,NA,NA,NA,"Clayton, Kelvin","Man","Letwin, Oliver","Man","White","Rogers, Rachel","Woman","White","Kayes, Ros","Woman","White",NA,NA,NA,NA,NA,NA,"Glossop, David","Man","White","Barton, Peter","Man","White"
201,"E14000670","Dover","England","South East","County","Conservative",52.3630835546319,39.9761382442366,2.57091174999038,NA,NA,3.31370511488281,1.77616133625832,NA,12.3869453103953,69.6931495091465,27211,20774,1336,NA,NA,1722,923,51966,76,74564,NA,9.08297842560989,9.22789039460297,-0.55906594991405,NA,NA,-16.9495156560634,-0.802287214235465,"Conservative",43.280105129022,30.7482478496336,3.12997769990443,NA,NA,20.2632207709462,2.57844855049379,NA,12.5318572793883,68.8660359248595,21737,15443,1572,NA,NA,10177,1295,NA,50224,199,72930,NA,-0.729894870978015,-2.79175215036636,-12.6700223000956,NA,NA,16.7932207709462,2.57844855049379,"Conservative",44.01,33.54,15.8,NA,NA,3.47,NA,2.19,10.5,70.1,22174,16900,7962,NA,NA,1747,NA,1104,50385,71833,63.00961235,36.99038765,"Elphicke, Charlie","Man","Blair, Stacey","Woman","Dodd, Simon","Man",NA,NA,NA,NA,"Wauchope, Piers","Man","Sawbridge, Beccy","Woman","Elphicke, Charles","Man","White","Hawkins, Clair","Woman","White","Smith, Sarah","Woman","White",NA,NA,NA,NA,NA,NA,"Little, David Blackburn","Man","White","Trimingham, Jolyon Loch","Man","White"
204,"E14000671","Dudley North","England","West Midlands","Borough","Labour",46.4353636597276,46.4919043947571,0.945772295039836,NA,NA,5.51015163197122,0.61680801850424,1.4210854715202e-14,0.0565407350295554,62.7145689280015,18068,18090,368,NA,NA,2144,240,38910,72,62043,NA,15.6288780838169,4.6804704086548,-0.312387317510175,NA,NA,-18.4764771319791,-0.744004784191064,"Labour",30.8064855759107,41.8114339861023,1.25815961255001,NA,NA,23.9866287639503,1.3608128026953,0.776479258791324,11.0049484101916,62.5722614753693,11704,15885,478,NA,NA,9113,517,NA,37992,97,60717,NA,-6.17351442408928,3.15143398610234,-9.27184038744999,NA,NA,15.5266287639503,1.3608128026953,"Labour",36.98,38.66,10.53,NA,NA,8.46,NA,4.92,1.7,63.5,14274,14923,4066,NA,NA,3267,NA,1899,38602,60838,71.43022556,28.56977444,"Jones, Les","Man","Austin, Ian","Man","France, Ben","Man",NA,NA,NA,NA,"Etheridge, Bill","Man","Nixon, Andrew","Man","Jones, Les","Man","White","Austin, Ian","Man","White","Collins, Mike","Man","White",NA,NA,NA,NA,NA,NA,"Etheridge, Bill","Man","White","Duckworth, Will","Man","White"
205,"E14000672","Dudley South","England","West Midlands","Borough","Conservative",56.448070285535,36.2357493985985,1.63424327999163,NA,NA,4.68308754314402,0.998849492730886,NA,20.2123208869365,62.3648549483881,21588,13858,625,NA,NA,1791,382,38244,51,61323,NA,12.6820404504133,3.64480461974477,-0.532728716867828,NA,NA,-14.2543633859321,-1.5397529673581,"Conservative",43.7660298351217,32.5909447788537,2.16697199685946,NA,NA,18.9374509290762,2.53860246008898,NA,11.175085056268,63.3003661183175,16723,12453,828,NA,NA,7236,970,NA,38210,85,60363,NA,0.666029835121691,-0.409055221146296,-13.5230280031405,NA,NA,10.7274509290762,2.53860246008898,"Conservative",43.1,33,15.69,NA,NA,8.21,NA,NA,10.1,63,16450,12594,5989,NA,NA,3132,NA,NA,38165,60572,70.41731849,29.58268151,"Wood, Mike","Man","Millward, Natasha","Woman","Bramall, Jon","Man",NA,NA,NA,NA,"Bolton, Mitch","Man","Maxwell, Jenny","Woman","Wood, Mike","Man","White","Millward, Natasha","Woman","White","Turner, Martin Marshall","Man","White",NA,NA,NA,NA,NA,NA,"Brothwood, Paul Simon","Man","White","Duckworth, Vicky","Woman","White"
206,"E14000673","Dulwich and West Norwood","England","London","Borough","Labour",19.4859555064745,69.6364640293536,7.97071763176175,NA,NA,NA,2.5078816593342,0.398981173075896,50.1505085228791,71.9440778092443,10940,39096,4475,NA,NA,NA,1408,56143,162,78037,NA,-3.19618303953224,15.5653608791648,-1.87118883605492,NA,NA,-3.12682527938943,-6.92321526056767,"Labour",22.6821385460068,54.0711031501889,9.84190646781667,NA,NA,3.12682527938943,9.43109691990187,0.84692963669639,31.3889646041821,67.0741103493307,11650,27772,5055,NA,NA,1606,4844,NA,51362,186,76575,NA,0.522138546006776,7.48110315018886,-17.3180935321833,NA,NA,1.65682527938943,6.80109691990187,"Labour",22.16,46.59,27.16,NA,NA,1.47,2.63,NA,19.4,66.2,10684,22461,13096,NA,NA,707,1266,NA,48214,72817,22.93742067,77.06257933,"Wolf, Rachel","Woman","Hayes, Helen","Woman","Kent, Gail","Woman",NA,NA,NA,NA,NA,NA,"Nix, Rashid","Man","Kotecha, Resham","Woman","BME","Hayes, Helen Elizabeth","Woman","White","Barber, James","Man","White",NA,NA,NA,NA,NA,NA,"Alagaratnam, Rathy","Woman","BME","Nix, Rashid","Man","BME"
207,"S14000013","Dumfries and Galloway","Scotland","Scotland","County","Conservative",43.3031647900153,20.8821876392953,2.40508536987151,32.3669063353941,NA,NA,NA,1.04265586542374,10.9362584546212,69.5348085060507,22344,10775,1241,16701,NA,NA,NA,51599,45,74206,"Conservative gain from Scottish National Party",13.3996278125233,-3.82011969966795,0.721399281040726,-9.04505790615214,NA,-2.29850535316773,NA,"Scottish National Party",29.903536977492,24.7023073389633,1.68368608883078,41.4119642415462,NA,2.29850535316773,NA,NA,11.5084272640543,75.2196042472325,16926,13982,953,23440,NA,1301,NA,NA,56602,66,75249,"Scottish National Party gain from Labour",-1.72646302250804,-21.1976926610367,-7.14631391116922,29.1119642415462,NA,0.968505353167732,NA,"Labour",31.63,45.9,8.83,12.3,NA,1.33,NA,NA,14.3,70,16501,23950,4608,6419,NA,695,NA,NA,52173,74584,45.11085395,54.88914605,"Jack, Alister","Man","Goodare, Daniel","Man","Mitchell, Joan","Woman","Arkless, Richard","Man",NA,NA,NA,NA,NA,NA,"Carson, Finlay Hamilton","Man","White","Brown, Russell Leslie","Man","White","Metcalf, Andrew Robert","Man","White","Arkless, Richard","Man","White",NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"S14000014","Dumfriesshire, Clydesdale and Tweeddale","Scotland","Scotland","County","Conservative",49.3770933747243,16.546850747488,3.98047545135201,30.0955804264357,NA,NA,NA,1.4210854715202e-14,19.2815129482885,72.3548882846672,24177,8102,1949,14736,NA,NA,NA,48964,60,67672,NA,9.55854885483323,1.7561191711654,1.31043286877634,-8.19229313016838,NA,-2.8234933057122,-1.60931445889439,"Conservative",39.8185445198911,14.7907315763226,2.67004258257567,38.2878735566041,NA,2.8234933057122,1.60931445889439,NA,1.53067096328692,76.1269220098419,20759,7711,1392,19961,NA,1472,839,NA,52134,34,68483,NA,1.77854451989106,-14.1092684236774,-17.1199574174243,27.5078735566041,NA,1.4334933057122,0.499314458894388,"Conservative",38.04,28.9,19.79,10.78,NA,1.39,1.11,NA,9.1,68.9,17457,13263,9080,4945,NA,637,510,NA,45892,66627,44.64516678,55.35483322,"Mundell, David","Man","Beattie, Douglas","Man","Ferry, John","Man","McAllan, Mairi","Woman",NA,NA,NA,NA,NA,NA,"Mundell, David Gordon","Man","White","DryBorough, Archie","Man","White","Kubie, Amanda","Woman","White","Harper, Emma Mary","Woman","White",NA,NA,NA,"Newton, Kevin","Man","White","Jamieson, Jody","Woman","White"
209,"S14000018","East Dunbartonshire","Scotland","Scotland","County","Liberal Democrat",14.6001042450918,14.5383293758808,40.5841586069767,30.2774077720507,NA,NA,NA,NA,10.306750834926,78.131221719457,7563,7531,21023,15684,NA,NA,NA,51801,68,66300,"Liberal Democrat gain from Scottish National Party",5.98535328374609,2.2294594810365,4.26989424146486,-9.98611940988508,NA,-1.0333327258479,-1.46525487051448,"Scottish National Party",8.6147509613457,12.3088698948443,36.3142643655118,40.2635271819358,NA,1.0333327258479,1.46525487051448,NA,3.94926281642397,81.9385957052833,4727,6754,19926,22093,NA,567,804,NA,54871,47,66966,"Scottish National Party gain from Liberal Democrat",-6.8852490386543,-21.8211301051557,-2.37573563448816,29.7235271819358,NA,-0.106667274152102,1.46525487051448,"Liberal Democrat",15.5,34.13,38.69,10.54,NA,1.14,NA,NA,4.5,75.2,7431,16367,18551,5054,NA,545,NA,NA,47948,63795,26.86819626,73.13180374,"Mechan, Sheila","Woman","McNally, Callum","Man","Swinson, Jo","Woman","Nicolson, John","Man",NA,NA,NA,NA,NA,NA,"Polson, Andrew","Man","White","Jhund, Amanjit","Man","BME","Swinson, Jo","Woman","White","Nicolson, John","Man","White",NA,NA,NA,"Arasaratnam, Wilfred","Man","BME","Greer, Ross","Man","White"
210,"S14000059","West Dunbartonshire","Scotland","Scotland","County","Scottish National Party",17.1993739083093,37.6607762629585,2.28886418800898,42.8509856407232,NA,NA,NA,NA,5.19020937776467,65.2096091831603,7582,16602,1009,18890,NA,NA,NA,44083,86,67602,NA,10.1658782785798,6.32192876290963,0.693275521381424,-16.1975272941041,NA,NA,NA,"Scottish National Party",7.03349562972957,31.3388475000489,1.59558866662756,59.0485129348272,NA,NA,NA,0.983555268766743,27.7096654347784,73.8946364582129,3597,16027,816,30198,NA,NA,NA,NA,51141,61,69208,"Scottish National Party gain from Labour",-0.636504370270429,-29.9511524999511,-6.52441133337244,38.9485129348272,NA,NA,NA,"Labour",7.67,61.29,8.12,20.1,NA,1.62,NA,NA,41.2,64,3242,25905,3434,8497,NA,683,NA,NA,42266,66086,38.00555298,61.99444702,"Hutton, Penny","Woman","Mitchell, Jean Anne","Woman","Plenderleith, Rebecca","Woman","Docherty-Hughes, Martin","Man",NA,NA,NA,NA,NA,NA,"Corry, Maurice","Man","White","Doyle, Gemma","Woman","White","Morton, Aileen","Woman","White","Docherty, Martin","Man","White",NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"S14000015","Dundee East","Scotland","Scotland","Borough","Scottish National Party",27.3620946701454,26.0342899739098,3.76211330600075,42.8415020499441,NA,NA,NA,NA,15.4794073797987,65.186624958241,11746,11176,1615,18391,NA,NA,NA,42928,57,65854,NA,12.4072331987331,6.10485135193201,0.883624149624279,-16.85549909149,NA,NA,-1.85742450970219,"Scottish National Party",14.9548614714123,19.9294386219778,2.87848915637647,59.6970011414341,NA,NA,1.85742450970219,0.68278509909723,39.7675625194563,71.0462681725694,7206,9603,1387,28765,NA,NA,895,NA,48185,73,67822,NA,-0.275138528587735,-13.4205613780222,-7.68151084362353,21.8570011414341,NA,NA,0.517424509702189,"Scottish National Party",15.23,33.35,10.56,37.84,NA,1.06,1.34,NA,4.5,62,6177,13529,4285,15350,NA,431,542,NA,40568,65471,38.41167038,61.58832962,"Price, Eleanor","Woman","Brennan, Lesley","Woman","McIntyre, Christopher","Man","Hosie, Stewart","Man",NA,NA,NA,NA,NA,NA,"Bowman, Bill","Man","White","Brennan, Lesley McMahon","Woman","White","Duncan, Craig Robertson","Man","White","Hosie, Stewart","Man","White",NA,NA,NA,NA,NA,NA,"Grayshan, Helen Elizabeth","Woman","White"
212,"S14000016","Dundee West","Scotland","Scotland","Borough","Scottish National Party",16.177573234739,33.0506502572588,3.07417845231016,46.6556351319906,NA,NA,NA,1.04196292370142,13.6049848747318,61.7409488538407,6257,12783,1189,18045,NA,NA,NA,38677,99,62644,NA,7.56282170278032,9.36231998038806,0.710265583857325,-15.2578595229273,NA,NA,-2.73963411906785,"Scottish National Party",8.61475153195867,23.6883302768708,2.36391286845283,61.9134946549179,NA,NA,2.73963411906785,0.679876548731941,38.2251643780471,67.8235017519378,3852,10592,1057,27684,NA,NA,1225,NA,44714,46,65927,"Scottish National Party gain from Labour",-0.705248468041329,-24.7816697231292,-9.03608713154717,33.0534946549179,NA,NA,2.73963411906785,"Labour",9.32,48.47,11.4,28.86,NA,NA,NA,NA,19.6,58.9,3461,17994,4233,10716,NA,NA,NA,NA,37126,63013,40.74563339,59.25436661,"Cormack, Darren","Man","Cowan, Alan","Man","Blain, Jenny","Woman","Law, Chris","Man",NA,NA,NA,NA,NA,NA,"Ross, Nicola Alison","Woman","White","Marra, Michael James","Man","White","Coleman, Daniel","Man","White","Law, Chris","Man","White",NA,NA,NA,NA,NA,NA,"Hinchion, Pauline","Woman","White"
